hcpcs,service,mue_value,mai,rationale,effective_date,source
0037U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0038U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0039U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0040U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0041U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0042U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0043U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0044U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0045U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0046U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0047U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0048U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0049U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0050U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0051U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0052U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0054T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0054U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0055T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0055U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0058U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0059U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0060U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0061U,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0062U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0063U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0064U,practitioner,2,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0065U,practitioner,2,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0067U,practitioner,2,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0068U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0069U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0070U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0071T,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0071U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0072T,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0072U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0073U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0074U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0075T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0075U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0076T,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0076U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0077U,practitioner,2,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0079U,practitioner,0,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0080U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0082U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0083U,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0084U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0086U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0087U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0088U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0089U,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0090U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0091U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0092U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0093U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0094U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0095T,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0095U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0096U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0098T,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0100T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0101T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0101U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0102T,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0102U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0103U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0105U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0106T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0106U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0107T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0107U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0108T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0108U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0109T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0109U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0110T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0110U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0111U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0112U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0113U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0114U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0115U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0116U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0117U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0118U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0119U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0120U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0121U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0122U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0123U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0129U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0130U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0133U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0134U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0136U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0137U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0138U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0140U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0141U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0142U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0152U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0153U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0154U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0155U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0156U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0157U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0158U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0159U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0160U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0161U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0162U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0163U,practitioner,0,3,CMS Policy,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0164T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0164U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0165T,practitioner,4,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0165U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0166U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0169U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0170U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0171U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0172U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0173U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0174T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0174U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0175T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0175U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0176U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0177U,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0178U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0179U,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0184T,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0198T,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
01996,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0200T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0201T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0202T,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0202U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0203U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0205U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0206U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0207T,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0207U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0208T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0209T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0209U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0210T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0210U,practitioner,2,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0211T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0211U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0212T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0212U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0213T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0213U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0214T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0214U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0215T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0215U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0216T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0216U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0217T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0217U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0218T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0218U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0219T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0219U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0220T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0220U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0221T,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0222T,practitioner,1,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0223U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0224U,practitioner,3,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0225U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0226U,practitioner,1,3,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0227U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0228U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0229U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0230U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0231U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0232T,practitioner,1,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0232U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0233U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0234T,practitioner,2,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0234U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0235T,practitioner,2,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0235U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0236T,practitioner,1,2,Anatomic Consideration,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0236U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0237T,practitioner,2,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0237U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0238T,practitioner,2,3,Clinical: Data,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0238U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0239U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0242U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0243U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0244U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0245U,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0247U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0248U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0249U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
