col1,col2,modifier_indicator,service,effective_date,source
0211U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0211U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0212U,0454U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0212U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0213U,0454U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0213U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0229U,0453U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0235U,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0237U,0466U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0239U,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0239U,0465U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0239U,0467U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0239U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0239U,0511U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0242U,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0242U,0465U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0242U,0467U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0242U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0242U,0511U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0465U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0467U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0487U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0491U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0492U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0244U,0511U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0250U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0250U,0491U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0250U,0492U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0260U,0469U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0262U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0262U,0487U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0262U,0491U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0262U,0492U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0264U,0469U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0265U,0454U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0265U,0469U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0266U,0454U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0266U,0469U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0267U,0454U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0267U,0469U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0288U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0297U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0297U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0298U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0298U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0300U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0300U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0306U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0306U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0307U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0308U,0466U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0309U,0466U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0313U,0510U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0317U,0478U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0317U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0317U,0499U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0321U,0484U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0321U,0504U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0326U,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0326U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0326U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0326U,0465U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0326U,0467U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0329U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0329U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0330U,0455U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0330U,0483U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0330U,0484U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0331U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0331U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0334U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0334U,0487U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0335U,0454U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0335U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0336U,0454U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0336U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0338U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0340U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0340U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0341U,0454U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0341U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0341U,0489U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0342U,0510U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0344U,0468U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0360U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0365U,0452U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0388U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0395U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0400U,0482U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0402U,0483U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0402U,0484U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0403U,0512U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0403U,0513U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0405U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0405U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0405U,0510U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0406U,0478U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0409U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0409U,0491U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0409U,0492U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0409U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0409U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0410U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0410U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0410U,0510U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0412U,0459U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0412U,0479U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0414U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0417U,0454U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0417U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0421U,0453U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0421U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0422U,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0422U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0422U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0422U,0465U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0422U,0467U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0433U,0512U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0433U,0513U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,81400,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,81401,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,81402,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,81403,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,81406,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,81408,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,84311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88271,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88274,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88291,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88365,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88366,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88368,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,88374,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0452U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,84311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88271,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88272,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88273,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88274,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88275,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88291,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88365,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88366,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88367,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88368,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88374,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,88377,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0453U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,0327U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,0469U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,81228,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,81349,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,81422,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,81439,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,81448,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,81507,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0454U,G0452,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,81400,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,81401,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,81402,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87149,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87150,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87153,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87660,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87661,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87800,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87801,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,87808,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0455U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,80503,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,80504,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,80505,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,82542,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,84311,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0459U,96523,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0005U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0006M,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0007M,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0011M,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0012M,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0013M,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0069U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0089U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0113U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0228U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0238U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,0363U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,36591,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0460U,36592,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
