code,code_type,site_signal,strength,description,source
S9347,HCPCS,home,1.0,Home infusion therapy uninterrupted long-term antibiotic per diem,CMS HCPCS (home infusion per diem)
S9348,HCPCS,home,1.0,Home infusion therapy sympathomimetic/inotropic per diem,CMS HCPCS (home infusion per diem)
S9351,HCPCS,home,1.0,Home infusion therapy continuous anti-emetic per diem,CMS HCPCS (home infusion per diem)
S9357,HCPCS,home,1.0,Home infusion therapy enzyme replacement per diem,CMS HCPCS (home infusion per diem)
S9359,HCPCS,home,1.0,Home infusion therapy anti-TNF per diem,CMS HCPCS (home infusion per diem)
S9364,HCPCS,home,1.0,Home infusion therapy total parenteral nutrition per diem,CMS HCPCS (home infusion per diem)
S9373,HCPCS,home,1.0,Home infusion therapy hydration per diem,CMS HCPCS (home infusion per diem)
S9375,HCPCS,home,1.0,Home infusion therapy intermittent hydration per diem,CMS HCPCS (home infusion per diem)
S9379,HCPCS,home,1.0,Home infusion therapy not otherwise classified per diem,CMS HCPCS (home infusion per diem)
S9490,HCPCS,home,1.0,Home infusion therapy corticosteroid per diem,CMS HCPCS (home infusion per diem)
S9494,HCPCS,home,1.0,Home infusion therapy antibiotic/antiviral/antifungal per diem,CMS HCPCS (home infusion per diem)
S9497,HCPCS,home,1.0,Home infusion therapy antibiotic once every 3 hours per diem,CMS HCPCS (home infusion per diem)
S9500,HCPCS,home,1.0,Home infusion therapy antibiotic every 24 hours per diem,CMS HCPCS (home infusion per diem)
S9501,HCPCS,home,1.0,Home infusion therapy antibiotic every 12 hours per diem,CMS HCPCS (home infusion per diem)
S9502,HCPCS,home,1.0,Home infusion therapy antibiotic every 8 hours per diem,CMS HCPCS (home infusion per diem)
S9503,HCPCS,home,1.0,Home infusion therapy antibiotic every 6 hours per diem,CMS HCPCS (home infusion per diem)
S9504,HCPCS,home,1.0,Home infusion therapy antibiotic every 4 hours per diem,CMS HCPCS (home infusion per diem)
S9810,HCPCS,home,0.8,Home therapy professional pharmacy services per hour,CMS HCPCS (home infusion support)
S5035,HCPCS,home,0.8,Home infusion therapy routine service of infusion device,CMS HCPCS (home infusion support)
S5036,HCPCS,home,0.8,Home infusion therapy repair of infusion device,CMS HCPCS (home infusion support)
S5497,HCPCS,home,0.8,Home infusion therapy catheter care/maintenance per diem,CMS HCPCS (home infusion support)
S5498,HCPCS,home,0.8,Home infusion therapy simple catheter care per diem,CMS HCPCS (home infusion support)
S5501,HCPCS,home,0.8,Home infusion therapy complex catheter care per diem,CMS HCPCS (home infusion support)
S5502,HCPCS,home,0.8,Home infusion therapy implanted access device care per diem,CMS HCPCS (home infusion support)
S5517,HCPCS,home,0.8,Home infusion therapy supplies for restoration of catheter patency,CMS HCPCS (home infusion support)
S5518,HCPCS,home,0.8,Home infusion therapy supplies for catheter repair,CMS HCPCS (home infusion support)
S5520,HCPCS,home,0.8,Home infusion therapy supplies for central line insertion,CMS HCPCS (home infusion support)
S5521,HCPCS,home,0.8,Home infusion therapy supplies for midline insertion,CMS HCPCS (home infusion support)
S5522,HCPCS,home,0.8,Home infusion therapy supplies for PICC insertion,CMS HCPCS (home infusion support)
S5523,HCPCS,home,0.8,Home infusion therapy supplies for peripheral line insertion,CMS HCPCS (home infusion support)
99339,CPT,oversight_home,0.5,Care plan oversight domiciliary/home 15-29 min,CMS HCPCS/CPT (care plan oversight)
99340,CPT,oversight_home,0.5,Care plan oversight domiciliary/home 30+ min,CMS HCPCS/CPT (care plan oversight)
99374,CPT,oversight_home,0.5,Care plan oversight home health agency 15-29 min,CMS HCPCS/CPT (care plan oversight)
99375,CPT,oversight_home,0.5,Care plan oversight home health agency 30+ min,CMS HCPCS/CPT (care plan oversight)
99377,CPT,oversight_home,0.4,Care plan oversight hospice 15-29 min,CMS HCPCS/CPT (care plan oversight)
99378,CPT,oversight_home,0.4,Care plan oversight hospice 30+ min,CMS HCPCS/CPT (care plan oversight)
99358,CPT,oversight,0.3,Prolonged evaluation service without direct contact first hour,CMS HCPCS/CPT (prolonged service)
99359,CPT,oversight,0.3,Prolonged evaluation service without direct contact additional,CMS HCPCS/CPT (prolonged service)
