aco_id,aco_name,participant_org,service_area,agreement_period,initial_start_date,current_start_date,basic_track,basic_track_level,enhanced_track,high_revenue_aco,low_revenue_aco,public_website,source_id
A1596,"Accountable Care Coalition of Georgia, LLC.","J.C. Lewis Primary Healthcare Center, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.",MCKINNEY MEDICAL CENTER INC,GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.",MEDCURA HEALTH INC,GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","MERIDIAN EDUCATION RESOURCE GROUP, INC.",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.",OCONEE VALLEY HEALTHCARE INC,GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Palmetto Health Council, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Primary Care of Southwest Georgia, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Primary Health Care Center Of Dade, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","South Central Primary Care Center, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","TRI-MED FAMILY CARE, INC",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Valley Healthcare System, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,AYMAN DAMEN,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,ERIC TEPPER,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,KELLY SCHULTZ LLC,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,MED CENTER MEDICAL CLINIC,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,MOHALI INC.,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,SEEMA AFSARI,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,"SIERRA FAMILY MEDICAL CLINIC, INC.",CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A4597,Achiever Health Care Consultation and Management LLC,TE LAYNE MD INC,CA,3,07/01/2019,01/01/2025,1,E,0,0,1,http://achieveraco.com/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,"ALBANY AREA PRIMARY HEALTH CARE, INC",GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,COASTAL COMMUNITY HEALTH SERVICES INC,GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,"COMMUNITY HEALTH CARE SYSTEMS,INC.",GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,"EAST GEORGIA HEALTHCARE CENTER, INC.",GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,"GEORGIA HIGHLANDS MEDICAL SERVICES, INC.",GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,GOOD SAMARITAN HEALTH & WELLNESS CENTER,GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A5460,ACME Health Partners ACO,"MEDLINK GEORGIA, INC",GA,3,01/01/2024,01/01/2024,0,N/A,1,0,1,https://acme-aco.org/public-reporting/,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",ADDISON MIZNER MEDICAL LLC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",AIZER HEALTH INC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",BEHNAM BIRGANI DO PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.","COMMUNITY HEALTH PROJECT, INC.","FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",DAMIAN FAMILY CARE CENTER INC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",DIA HEALTH PLLC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",FAMILY PHYSICIANS ASSOCIATES INC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",FATHIMA SYED MD PLLC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",GOOD BUSINESS LLC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",GREGORY A. CISNEROS MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",GRISEL MAC WILLIAMS MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",HOUSING WORKS HEALTH SERVICES III INC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",HOUSING WORKS SERVICES II INC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",HOUSING WORKS SERVICES INC.,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",IVAN ESPAILLAT MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",JEFFREY PAUL GALLY MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",LIFETIME FAMILY URGENT CARE LLC,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",MCDAVID M MAHAFFEY MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.","MEDICAL CLINIC OF HOUSTON, LLP","FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",PARTNERS IN INTERNAL MEDICINE PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",PEDRO P CARBALLO MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",RODOLFO J CEPERO MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.",SAMANTHA S LINDSAY MD PA,"FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A4749,"ACMG Health Systems, Inc.","SIMCARE, PLLC","FL, NY, TX",4,01/01/2020,01/01/2025,0,N/A,1,0,1,https://www.genuinehealthgroup.com/aco-reporting,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC",Barton Medical Foundation,"AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC",LAKE TAHOE ORTHOPAEDIC INSTITUTE A WATSON-SWANSON PROFESSIONAL CORP,"AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC",TAHOE CARSON VALLEY MEDICAL GROUP INC,"AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC",TAHOE EMERGENCY PHYSICIANS MEDICAL CORPORATION,"AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC","TAHOE ORTHOPEDICS & SPORTS MEDICINE, INC.","AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC","VITAL CARE, LLC","AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A5067,"ACO Collaborative, LLC",YUMA REGIONAL MEDICAL CENTER,"AZ, CA, NV, SD",2,01/01/2022,01/01/2026,1,A,0,1,0,https://acocollaborative.org/public-reporting/,cms_mssp_aco_py2026
A3563,ACO West Virginia,"BARNESVILLE HOSPITAL ASSOCIATION, INC.","MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,BRAXTON COUNTY MEMORIAL HOSPITAL,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,CAMDEN-CLARK PHYSICIAN CORPORATION,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,CAMDEN CLARK MEMORIAL HOSPITAL CORPORATION,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,CITY HOSPITAL INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,"COMMUNITY CARE OF WEST VIRGINIA, INC.","MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,COMMUNITY HEALTH ASSOCIATION,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,FAYETTE PHYSICIAN NETWORK INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,GRANT MEMORIAL HOSPITAL INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,"GRMC, INC.","MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,HARRISON COMMUNITY HOSPITAL INC.,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,HERBERT J THOMAS MEMORIAL HOSPITAL ASSOCIATION,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,JEFFERSON MEMORIAL HOSPITAL,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,POTOMAC VALLEY HOSPITAL OF W VA INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,PRINCETON COMMUNITY HOSPITAL ASSN. INC.,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,"PROFESSIONAL EMERGENCY PHYSICIAN SERVICES, LLC","MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,REYNOLDS MEMORIAL HOSPITAL INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,"SPECIALTY PHYSICIANS OF GARRETT COUNTY, LLC","MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,ST JOSEPH'S HOSPITAL OF BUCKHANNON INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,THS PHYSICIAN PARTNERS INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,UNIONTOWN HOSPITAL,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,UNITED HOSPITAL CENTER INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,UNITED PHYSICIANS CARE INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,UNITED SUMMIT CENTER INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,"WEIRTON MEDICAL CENTER, INC.","MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WEST VIRGINIA HEALTH CARE COOPERATIVE INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WEST VIRGINIA UNIVERSITY HOSPITALS INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WEST VIRGINIA UNIVERSITY MEDICAL CORPORATION,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WETZEL COUNTY HOSPITAL INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WHEELING HOSPITAL AMBULATORY SURGERY CENTER LLC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WHEELING HOSPITAL INC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A3563,ACO West Virginia,WMC PHYSICIAN PRACTICES LLC,"MD, OH, PA, WV",2,01/01/2018,01/01/2022,1,B,0,1,0,https://acowv.org/required-disclosures,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC","CLINCH VALLEY MEDICAL CENTER, INC.","NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",CLINCH VALLEY PHYSICIANS ASSOCIATES LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC","COMPLEXIONS DERMATOLOGY, PC","NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",DANVILLE GASTROENTEROLOGY CENTER PC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",DANVILLE PHYSICIAN PRACTICES LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",DANVILLE REGIONAL MEDICAL CENTER LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",DLP TWIN COUNTY PHYSICIAN PRACTICES LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",DLP TWIN COUNTY REGIONAL HEALTHCARE LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",FAMILY HEALTHCARE OF WYTHEVILLE PC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",FAUQUIER FAMILY PRACTICE PLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",FAUQUIER MEDICAL CENTER LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",FAUQUIER PHYSICIAN PRACTICES LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",MARTINSVILLE NEUROLOGICAL ASSOC INC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
A4654,"AdvantagePoint Health Alliance - Blue Ridge, LLC",MARTINSVILLE PHYSICIAN PRACTICES LLC,"NC, VA",2,07/01/2019,01/01/2024,1,E,0,1,0,https://www.advantagepointhealth.com/blue-ridge-aco,cms_mssp_aco_py2026
