ccn,overall_rating,health_inspection_rating,staffing_rating,qm_rating,rn_hprd,total_nurse_hprd,total_nurse_turnover_pct,num_fines,total_fines_usd,num_payment_denials,num_penalties,source,source_date
015066,5,5,4,4,0.70805,3.71853,44.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015067,5,4,2,5,0.78158,3.34533,62.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015071,2,3,4,1,0.92157,4.07492,59.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015073,2,1,5,3,0.67962,4.57114,40.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015075,2,2,2,2,0.63763,3.19503,60.0,3,25568.00,0,3,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015076,3,3,3,4,0.29536,4.40053,59.3,10,31615.00,0,10,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015083,1,2,4,1,0.87172,3.71000,53.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015084,3,2,3,5,0.40940,3.36169,26.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015089,4,4,4,4,0.52020,4.75901,29.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015091,1,2,1,2,0.26260,2.97305,71.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015097,2,2,3,2,0.55456,3.98905,59.8,2,8569.00,1,3,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015098,3,3,4,4,0.66395,3.59930,58.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015100,3,3,5,1,0.61129,4.71726,30.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015101,4,2,5,5,0.68532,3.61882,24.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015103,3,3,4,3,0.68952,3.90813,60.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015104,5,4,3,5,0.55806,3.91548,,1,5244.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015109,3,2,4,5,0.64718,4.20222,56.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015111,4,4,3,3,0.62147,3.02600,43.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015112,3,3,3,3,0.50906,2.70826,28.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015113,1,1,4,4,0.87314,3.30317,54.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015114,1,1,4,3,0.58821,3.77930,40.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015115,1,1,4,3,0.57721,3.83395,54.1,1,76242.00,1,2,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015116,1,1,4,3,1.32277,4.18246,69.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015117,2,1,4,5,0.50566,3.90471,50.5,2,22340.00,0,2,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015119,2,2,3,4,0.48559,3.03627,48.5,1,203450.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015120,3,2,4,5,0.90304,3.60839,43.5,1,11057.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015121,5,5,4,3,0.53103,4.33395,38.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015123,5,5,5,5,0.66245,4.38287,27.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015124,4,4,4,2,0.60563,3.75473,44.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015126,4,2,5,5,0.88672,4.18284,41.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015127,3,3,4,2,0.81935,4.02673,49.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015128,5,4,3,5,0.67433,3.87744,50.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015129,5,5,4,4,0.63010,4.52549,54.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015132,2,2,3,3,0.47495,3.30002,47.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015133,1,1,4,3,0.82245,5.81757,62.2,1,392125.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015134,2,1,1,5,0.28971,2.51773,64.0,5,24834.00,1,6,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015135,2,3,4,1,0.64011,4.76546,54.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015136,1,1,4,3,0.65088,4.20555,44.2,2,146615.00,1,3,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015137,5,4,5,4,0.74164,3.86653,40.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015138,2,2,3,3,0.51872,3.79754,50.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015139,2,2,3,3,0.58020,3.97183,60.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015141,5,3,5,5,0.76217,5.20391,50.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015142,5,5,3,3,0.41571,4.06850,52.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015143,3,3,4,3,0.72012,3.53041,43.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015144,3,3,2,3,0.27457,3.54125,44.8,2,16801.00,1,3,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015145,3,2,2,5,0.46321,3.12162,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015147,1,1,2,3,0.68393,3.11639,51.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015148,3,2,4,5,0.66475,3.14323,36.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015149,3,3,4,3,1.03692,3.98021,25.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015150,4,3,5,4,0.61294,3.76087,34.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015151,3,3,3,4,0.81308,3.70620,67.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015152,2,2,4,4,0.64103,4.77343,49.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015153,4,4,2,2,0.49563,3.52348,47.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015154,5,4,5,4,1.12105,4.41881,28.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015155,2,2,3,3,0.67845,3.84741,99.3,1,13520.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015156,4,4,5,1,0.87853,4.21132,31.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015157,4,5,4,1,0.63363,4.57005,60.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015158,5,4,2,5,0.43792,2.92562,48.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015159,2,2,2,4,0.53455,2.88177,48.6,1,9318.00,1,2,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015160,5,4,4,5,0.77775,3.97407,39.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015162,3,3,4,3,0.48847,4.44574,55.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015163,5,4,5,4,0.73488,5.15376,46.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015164,5,5,4,3,0.78679,3.60978,58.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015166,3,2,5,2,0.63359,4.38622,31.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015167,4,2,5,5,1.11253,4.23523,20.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015168,5,5,5,2,0.72671,4.36335,37.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015169,3,3,4,3,0.77278,3.64848,40.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015171,5,5,4,4,0.42982,4.47067,26.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015174,3,3,3,2,0.52595,4.12144,61.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015175,1,2,3,1,0.33264,4.88780,58.9,12,48689.00,0,12,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015176,5,4,4,5,0.55924,3.82517,41.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015177,5,5,4,5,0.69706,3.93241,29.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015178,1,1,1,2,,,,1,13635.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015179,5,3,5,5,0.85661,4.39136,38.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015180,3,3,3,3,0.50497,4.08853,51.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015182,4,4,4,2,0.45934,4.31903,39.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015183,2,2,3,3,0.31886,3.31690,45.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015184,4,4,4,3,0.60784,3.88760,38.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015186,1,1,4,3,0.61996,4.26311,41.5,1,81335.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015187,4,4,4,4,0.65151,3.93012,47.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015188,4,3,5,2,0.96435,4.56511,29.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015189,2,2,2,2,0.56710,2.93212,71.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015191,4,4,3,2,0.62855,3.95722,56.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015192,2,2,4,2,0.53893,4.36332,48.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015193,4,4,4,2,0.42079,4.52016,29.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015194,5,5,5,3,0.72867,4.89375,42.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015195,1,1,4,2,0.51734,3.88215,53.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015196,4,4,3,4,0.48771,3.08016,51.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015197,2,3,1,3,0.39805,3.69069,40.0,1,4558.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015199,3,2,5,3,0.56049,3.95599,36.5,1,42884.00,1,2,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015200,2,1,5,3,0.70284,4.89132,32.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015201,1,2,1,1,,,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015202,4,4,4,3,0.59012,3.45870,47.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015203,2,1,3,5,0.60812,3.59123,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015204,5,5,5,2,0.54274,4.91075,41.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015206,1,1,3,3,0.47454,3.90542,60.5,4,25367.00,0,4,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015207,2,3,3,1,0.67420,4.52376,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015208,3,3,4,4,0.43512,3.85607,46.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015209,1,1,4,2,0.51750,3.38496,49.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015210,3,3,3,2,0.41386,3.67871,44.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015211,4,4,3,3,0.54097,3.50027,34.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015212,1,1,4,3,0.43142,4.32370,52.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015213,1,1,4,2,0.47946,3.50741,35.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015214,3,3,3,3,0.60625,4.33736,48.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015215,1,1,3,3,0.42909,3.30019,54.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015216,4,4,4,4,0.65002,3.41635,42.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015217,1,1,2,4,0.36691,2.87945,60.2,2,111811.00,0,2,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015220,5,5,5,3,0.66332,4.45065,42.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015221,4,4,4,2,0.56131,4.33915,36.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015222,2,2,4,3,0.38980,4.00293,30.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015223,3,3,4,3,0.68443,4.07758,52.0,1,221520.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015225,5,4,3,5,0.30599,4.46200,58.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015227,1,2,1,2,,,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015228,2,1,3,5,0.88018,3.47110,60.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015303,3,3,3,3,0.65532,3.60302,62.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015315,3,3,4,4,0.79027,3.94375,98.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015320,2,1,5,3,0.61874,5.10826,36.2,1,68070.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015321,3,3,4,2,0.65002,3.65654,60.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015322,4,4,4,2,0.56654,5.13651,38.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015326,3,3,4,3,0.53189,4.04487,57.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015330,5,4,4,5,0.64961,4.72393,43.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015331,3,3,2,3,0.73343,3.34324,46.8,4,27523.00,0,4,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015336,4,4,3,3,0.31531,3.86751,43.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015361,4,4,3,4,0.73942,4.28632,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015369,2,1,5,2,0.68694,3.92512,45.5,1,17345.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015371,3,3,4,4,0.40189,4.26588,48.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015372,1,1,3,4,0.55772,4.40327,68.6,2,16801.00,1,3,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015373,4,3,5,3,0.69565,4.97925,43.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015374,5,5,5,2,0.48635,4.47179,14.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015375,4,3,5,3,1.00830,4.14803,37.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015376,4,4,4,2,0.91378,3.26338,38.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015378,3,3,4,2,0.54266,4.17616,55.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015379,2,2,3,4,0.45611,3.20845,62.4,1,13520.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015381,5,3,5,5,1.26295,4.12963,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015382,2,2,3,2,0.35274,4.20421,51.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015383,4,4,4,2,0.60318,4.29486,37.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015386,5,5,5,2,0.95034,4.24706,44.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015388,2,2,3,3,0.54937,3.57537,57.9,1,14521.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015390,4,4,3,3,0.40026,4.22199,37.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015391,3,2,4,5,0.44368,4.14747,43.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015392,5,5,4,4,1.05333,3.25083,39.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015393,4,4,4,2,0.66855,4.19165,49.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015396,5,4,3,5,0.50313,2.88798,37.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015397,1,1,2,3,0.45078,2.76384,59.6,1,266231.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015398,4,4,4,3,0.69166,4.09088,23.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015400,3,3,3,3,0.68787,4.02619,51.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015402,4,3,4,5,0.45915,4.53626,47.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015403,5,5,4,3,1.17240,4.48257,64.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015404,4,4,3,3,0.74869,3.08906,35.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015406,2,1,2,5,0.50908,3.54346,75.0,8,78421.00,2,10,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015407,3,3,2,3,0.26607,3.17662,73.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015408,1,1,2,1,0.52123,3.15484,66.0,1,235127.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015411,2,3,3,1,0.35988,4.86239,62.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015413,3,2,5,2,0.63530,4.44797,28.6,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015414,3,4,1,2,0.45836,3.14565,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015416,4,3,5,3,0.77860,4.21400,40.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015417,3,2,5,4,0.94236,4.16607,42.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015419,5,4,4,5,0.61015,3.17612,43.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015420,2,1,5,5,0.81697,3.87143,36.0,1,238745.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
