ccn,provider_name,address,city,state,zip,county,ownership,certification_date,source,source_date
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY -,BIRMINGHAM,AL,35243,Jefferson,For profit,06/15/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T113,MOBILE INFIRMARY,POB 2144 -,MOBILE,AL,36652,Mobile,Non-profit,07/01/2017,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST -,BESSEMER,AL,35022,Jefferson,Government,01/01/2017,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR -,HOMEWOOD,AL,35209,Jefferson,For profit,12/17/2014,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET -,MOBILE,AL,36608,Mobile,For profit,01/01/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T157,JW SOMMER REHABILITATION UNIT,201 AVALON AVE -,MUSCLE SHOALS,AL,35661,Colbert,For profit,10/01/2011,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
02T017,ALASKA REGIONAL HOSPITAL,2801 DEBARR RD -,ANCHORAGE,AK,99508,Anchorage,For profit,01/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
02TA01,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET -,ANCHORAGE,AK,99503,Anchorage,Non-profit,01/01/2020,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033025,ENCOMPASS HEALTH REHAB HOSPITAL OF SCOTTSDALE,9630 EAST SHEA BOULEVARD -,SCOTTSDALE,AZ,85260,Maricopa,For profit,01/19/1989,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033028,ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSO,2650 NORTH WYATT DRIVE -,TUCSON,AZ,85712,Pima,For profit,07/03/1990,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033029,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHW,1921 WEST HOSPITAL DRIVE -,TUCSON,AZ,85704,Pima,For profit,05/26/1992,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033032,ENCOMPASS HEALTH VALLEY OF THE SUN REHAB HOSPITAL,13460 NORTH 67TH AVENUE -,GLENDALE,AZ,85304,Maricopa,For profit,08/26/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033034,"YUMA REHABILITATION HOSPITAL,AN AFFILIATION OF ENC",901 WEST 24TH STREET -,YUMA,AZ,85364,Yuma,For profit,04/22/2003,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033036,MOUNTAIN VALLEY REGIONAL REHABILITATION HOSPITAL,3700 NORTH WINDSONG DRIVE -,PRESCOTT VALLEY,AZ,86314,Yavapai,Government,07/24/2006,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033037,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF EAST V,5652 EAST BASELINE ROAD -,MESA,AZ,85206,Maricopa,For profit,10/26/2009,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033038,"GLOBALREHAB - SCOTTSDALE, LLC",8850 EAST PIMA CENTER PARKWAY -,SCOTTSDALE,AZ,85258,Maricopa,For profit,05/09/2013,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033039,PAM HEALTH REHABILITATION HOSPITAL OF SURPRISE,13060 WEST BELL ROAD -,SURPRISE,AZ,85378,Maricopa,For profit,03/03/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033040,DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,1515 WEST CHANDLER BOULEVARD -,CHANDLER,AZ,85224,Maricopa,For profit,11/21/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033041,REHABILITATION HOSPITAL OF NORTHERN ARIZONA,1851 NORTH GEMINI DRIVE -,FLAGSTAFF,AZ,86001,Coconino,For profit,04/12/2018,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033042,BANNER REHABILITATION HOSPITAL-WEST,12740 NORTH PLAZA DEL RIO BOULEVARD -,PEORIA,AZ,85381,Maricopa,For profit,09/25/2020,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033043,REUNION REHABILITATION HOSPITAL PHOENIX LLC,1675 EAST VILLA STREET -,PHOENIX,AZ,85006,Maricopa,For profit,02/03/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033044,DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,1850 S SAN TAN VILLAGE PARKWAY -,GILBERT,AZ,85295,Maricopa,For profit,01/06/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033045,REUNION REHABILITATION HOSPITAL PEORIA LLC,13451 N 94TH DRIVE -,PEORIA,AZ,85381,Maricopa,For profit,04/15/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033046,CLEARSKY REHABILITATION HOSPITAL OF AVONDALE,10903 W MCDOWELL RD -,AVONDALE,AZ,85392,Maricopa,For profit,08/04/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033047,EXALT HEALTH REHABILITATION HOSPITAL SCOTTSDALE,"20159 NORTH SCOTTSDALE ROAD, SECOND FLOOR -",SCOTTSDALE,AZ,85255,Maricopa,For profit,12/19/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T010,CARONDELET ST. MARY'S HOSPITAL,1601 W. ST. MARY'S ROAD -,TUCSON,AZ,85745,Pima,Non-profit,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T024,ST JOSEPHS HOSP,240 W THOMAS RD -,PHOENIX,AZ,85013,Maricopa,Non-profit,07/01/1985,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T038,SCOTTSDALE HEALTHCARE,7400 E OSBORN ROAD -,SCOTTSDALE,AZ,85251,Maricopa,For profit,10/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90 -,SIERRA VISTA,AZ,85635,Cochise,Non-profit,08/01/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL RD. -,KINGMAN,AZ,86401,Mohave,Government,07/01/2002,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T085,NORTHWEST MEDICAL CENTER/CHS,6200 N LA CHOLLA BLVD -,TUCSON,AZ,85741,Pima,For profit,10/01/2013,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T114,NORTHWEST TRANSITIONS,2025 W ORANGE GROVE ROAD -,TUCSON,AZ,85704,Pima,For profit,01/25/2005,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
03T117,VALLEY VIEW MEDICAL CENTER,5330 S HIGHWAY 95 -,FT MOHAVE,AZ,86426,Mohave,For profit,06/28/2006,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043026,BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE -,LITTLE ROCK,AR,72205,Pulaski,Non-profit,01/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043028,ENCOMPASS HEALTH REHABILITATION HOSPITAL FT SMITH,1401 SOUTH J STREET -,FORT SMITH,AR,72901,Sebastian,For profit,11/12/1986,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043029,ENCOMPASS HEALTH REHABILITATION HOSPITAL,1201 FLEMING AVE -,JONESBORO,AR,72401,Craighead,For profit,12/05/1988,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043031,CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL,2201 WILDWOOD AVENUE -,SHERWOOD,AR,72120,Pulaski,For profit,10/01/1990,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043032,ENCOMPASS HEALTH REHAB HOSP A PARTNER OF WASH REG,153 E MONTE PAINTER DRIVE -,FAYETTEVILLE,AR,72703,Washington,For profit,08/06/1991,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043033,CONWAY REGIONAL REHABILITATION HOSPITAL,2210 ROBINSON STREET -,CONWAY,AR,72034,Faulkner,For profit,12/17/2004,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043034,SOUTHEAST REHABILITATION HOSPITAL,905 BORGOGNONI DRIVE -,LAKE VILLAGE,AR,71653,CHICOT,Physician,12/13/2006,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043035,"CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS",1636 HIGDON FERRY ROAD -,HOT SPRINGS,AR,71913,Garland,For profit,04/11/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043036,MERCY REHABILITATION HOSPITAL NORTHWEST AR,4313 SOUTH PLEASANT CROSSING BOULEVARD -,ROGERS,AR,72758,Benton,For profit,04/11/2020,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043037,MERCY REHABILITATION HOSPITAL,6700 CHAD COLLEY BOULEVARD -,FORT SMITH,AR,72916,Sebastian,For profit,06/21/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
043038,JEFFERSON REGIONAL SPECIALTY HOSPITAL,1500 WEST HOLLAND AVENUE -,WHITE HALL,AR,71602,Jefferson,For profit,06/26/2024,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04R334,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET -,MENA,AR,71953,Polk,Non-profit,01/01/1999,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T002,JOHNSON REGIONAL REHABILITATION CENTER,1100 EAST POPLAR ST. -,CLARKSVILLE,AR,72830,Johnson,Non-profit,01/01/2006,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T014,UNITY HEALTH SPECIALTY CARE CAMPUS,1200 SOUTH MAIN STREET -,SEARCY,AR,72143,White,Non-profit,10/01/1995,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T022,NORTHWEST MEDICAL CENTER INPATIENT REHAB,"609 W. MAPLE AVE. TOWER II, 3RD FLOOR",SPRINGDALE,AR,72764,Washington,For profit,05/26/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE 624 HOSPITAL DR,MOUNTAIN HOME,AR,72653,Baxter,Non-profit,01/01/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T036,BAPTIST HEALTH REHAB INSTITUTE - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE -,NORTH LITTLE ROCK,AR,72117,Pulaski,Non-profit,01/01/1997,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T039,ARKANSAS METHODIST HOSPITAL,900 WEST KINGS HIGHWAY -,PARAGOULD,AR,72451,Greene,Non-profit,07/01/1997,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T041,S. MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET -,RUSSELLVILLE,AR,72801,Pope,For profit,08/26/1992,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T051,BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,778 SCOGIN DRIVE -,MONTICELLO,AR,71655,Drew,Non-profit,12/03/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVE. -,HOT SPRINGS,AR,71901,Garland,For profit,01/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T084,SALINE MEMORIAL HOSPITAL,1 MEDICAL PARK DR. -,BENTON,AR,72015,Saline,For profit,08/01/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T088,MEDICAL CENTER OF S ARKANSAS,700 WEST GROVE STREET -,EL DORADO,AR,71730,Union,For profit,07/01/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T118,NEA BAPTIST MEMORIAL HOSPITAL,4800 E JOHNSON AVE -,JONESBORO,AR,72401,Craighead,Non-profit,10/01/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T119,WHITE RIVER HEALTH SYSTEM,1710 HARRISON ST -,BATESVILLE,AR,72501,Independence,Non-profit,09/19/1997,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
04T154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE -,CONWAY,AR,72032,Faulkner,Non-profit,01/01/2020,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053031,ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS,5001 COMMERCE DRIVE -,BAKERSFIELD,CA,93309,Kern,For profit,06/08/1990,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053032,SAN JOAQUIN VALLEY REHABILITATION HOSP,7173 N SHARON AVENUE -,FRESNO,CA,93720,Fresno,For profit,02/15/1991,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053034,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,15120 KENSINGTON PARK DR -,TUSTIN,CA,92782,Orange,For profit,06/19/1991,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053037,BALLARD REHABILITATION HOSPITAL,1760 WEST 16TH ST -,SAN BERNARDINO,CA,92411,San Bernardino,Non-profit,07/27/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053038,TOTALLY KIDS REHABILITATION HOSPITAL,1720 MOUNTAIN VIEW AVENUE -,LOMA LINDA,CA,92354,San Bernardino,For profit,04/24/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053039,"CALIFORNIA REHABILITATION INSTITUTE, LLC",2070 CENTURY PARK EAST -,LOS ANGELES,CA,90067,Los Angeles,For profit,09/20/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053040,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODEST,1303 MABLE AVENUE -,MODESTO,CA,95355,Stanislaus,Non-profit,12/05/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053041,REHABILITATION HOSPITAL OF SOUTHERN CALIFORNIA,70077 RAMON RD -,RANCHO MIRAGE,CA,92270,Riverside,For profit,11/02/2018,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053042,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIE,35470 WHITEWOOD RD -,MURRIETA,CA,92563,Riverside,For profit,03/13/2020,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053043,PALOMAR REHABILITATION INSTITUTE,2181 WEST CITRACADO PARKWAY -,ESCONDIDO,CA,92029,San Diego,Non-profit,06/10/2021,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053044,CENTRAL CALIFORNIA REHABILITATION HOSPITAL,4400 KIRKCALDY DR -,BAKERSFIELD,CA,93306,Kern,For profit,04/08/2022,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053045,SACRAMENTO REHABILITATION HOSPITAL,10 ADVANTAGE COURT -,SACRAMENTO,CA,95834,Sacramento,For profit,03/25/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053046,UC DAVIS REHABILITATION HOSPITAL,4875 BROADWAY -,SACRAMENTO,CA,95820,Sacramento,For profit,04/24/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
053047,STOCKTON REGIONAL REHABILITATION HOSPITAL,607 E MAGNOLIA STREET -,STOCKTON,CA,95202,San Joaquin,For profit,07/14/2023,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T008,CALIFORNIA PACIFIC REGIONAL REHABILITATION CENTER,P O BOX 7999 -,SAN FRANCISCO,CA,94120,San Francisco,Non-profit,01/01/1996,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST -,NAPA,CA,94558,Napa,Non-profit,07/01/1995,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T017,MERCY GENERAL HOSPITAL,4001 J STREET -,SACRAMENTO,CA,95819,Sacramento,Non-profit,04/01/1986,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T024,SOUTH BAY REHABILITATION CTR,2400 EAST 4TH STREET -,NATIONAL CITY,CA,91950,San Diego,For profit,01/01/1989,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T026,GROSSMONT HOSPITAL SHARP,5555 GROSSMONT CENTER DRIVE -,LA MESA,CA,91942,San Diego,Government,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T038,SANTA CLARA VALLEY MEDICAL CENTER,751 S BASCOM AVE 2325 ENBORG LN SUITE 340,SAN JOSE,CA,95128,Santa Clara,Government,07/01/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T039,ENLOE REHABILITATION CENTER,1531 ESPLANADE -,CHICO,CA,95926,Butte,Non-profit,07/01/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE 2ND FLOOR,OAKLAND,CA,94609,Alameda,Non-profit,01/01/2015,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T057,KAWEAH DELTA REHABILITATION HOSPITAL,840 S. AKERS RD -,VISALIA,CA,93277,Tulare,Government,07/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T058,GLENDALE MEMORIAL HOSPITAL,1420 S. CENTRAL AVE -,GLENDALE,CA,91204,Los Angeles,Non-profit,10/01/1983,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T060,LEON S PETERS REHABILATION,2823 FRESNO ST -,FRESNO,CA,93721,Fresno,Non-profit,09/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N. VERMONT AVENUE -,LOS ANGELES,CA,90027,Los Angeles,For profit,07/01/1992,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T073,KAISER FOUNDATION REHAB CENTER,975 SERENO DR. -,VALLEJO,CA,94589,Solano,Non-profit,02/11/1993,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T078,PROVIDENCE LITTLE CO OF MARY MEDICAL CTR SAN PEDRO,1300 W. SEVENTH STREET -,SAN PEDRO,CA,90732,Los Angeles,Non-profit,01/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T082,ST JOHNS REGIONAL MEDICAL CENTER,1600 NORTH ROSE AVENUE -,OXNARD,CA,93030,Ventura,Non-profit,07/01/1992,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T100,SHARP MEMORIAL REHABILITATION CENTER,2999 HEALTH CENTER DRIVE -,SAN DIEGO,CA,92123,San Diego,Non-profit,10/01/1983,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T103,WHITE MEMORIAL MEDICAL CENTER,1720 EAST CESAR CHAVEZ AVENUE -,LOS ANGELOS,CA,90033,Los Angeles,Non-profit,01/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T107,MARIAN REGIONAL MEDICAL CENTER,1400 E CHURCH STREET -,SANTA MARIA,CA,93454,Santa Barbara,Non-profit,01/10/2013,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD. -,NORTHRIDGE,CA,91328,Los Angeles,Non-profit,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T126,VALLEY PRESBYTERIAN HOSPITAL REHABILITATION CENTER,15107 VANOWEN STREET -,VAN NUYS,CA,91405,Los Angeles,Non-profit,11/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY -,OCEANSIDE,CA,92056,San Diego,Government,07/01/1986,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T135,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,3828 DELMAS TERRACE -,CULVER CITY,CA,90231,Los Angeles,For profit,01/01/2013,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T145,COMM HOSP MONTEREY PENINSULA,23625 HOLMAN HWY -,MONTEREY,CA,93940,Monterey,Non-profit,01/01/2014,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T152,SAINT FRANCIS MEMORIAL HOSPITAL,900 HYDE ST -,SAN FRANCISCO,CA,94109,San Francisco,Non-profit,03/31/1995,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD -,ENCINO,CA,91436,Los Angeles,For profit,12/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T168,ST. JUDE MEDICAL CENTER,101 E. VALENCIA MESA DRIVE P.O. BOX 4138,FULLERTON,CA,92835,Orange,Non-profit,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T169,PRESBYTERIAN INTERCOMMUNITY,12401 WASHINGTON BLVD -,WHITTIER,CA,90602,Los Angeles,Non-profit,11/01/1992,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T174,SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR. -,SANTA ROSA,CA,95405,Sonoma,Non-profit,02/01/2000,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T180,JOHN MUIR MEDICAL CENTER,1601 YGNACIO VALLEY ROAD -,WALNUT CREEK,CA,94598,Contra Costa,Non-profit,01/05/1986,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T191,ST MARY MEDICAL CENTER,1050 LINDEN AVE -,LONG BEACH,CA,90813,Los Angeles,Non-profit,07/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T204,PALMDALE REGIONAL MEDICAL CTR,38600 MEDICAL CENTER DR -,PALMDALE,CA,93551,Los Angeles,For profit,01/01/2017,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T224,THE FUDGE FAMILY ACUTE REHABILITATION CENTER,1 HOAG DRIVE -,NEWPORT BEACH,CA,92663,Orange,Non-profit,01/01/2019,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T235,PROVIDENCE ST JOSEPH MED CTR,501 S BUENA VISTA ST -,BURBANK,CA,91505,Los Angeles,Non-profit,01/01/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T236,SIMI VALLEY HOSPITAL & HEALTH CARE SVC,2975 NORTH SYCAMORE DRIVE -,SIMI VALLEY,CA,93065,Ventura,Non-profit,01/01/1984,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
