ccn,cahps_summary_star,cahps_professional_star,cahps_communication_star,cahps_medicines_star,cahps_overall_star,cahps_overall_9_10_pct,cahps_recommend_pct,source,source_date
017072,5.0,5.0,5.0,4.0,4.0,89.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017078,5.0,4.0,5.0,5.0,4.0,91.0,94.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017079,5.0,4.0,5.0,5.0,4.0,94.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017080,5.0,5.0,5.0,5.0,5.0,92.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017082,2.0,2.0,2.0,2.0,1.0,62.0,65.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017084,4.0,4.0,5.0,3.0,4.0,86.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017085,4.0,3.0,4.0,5.0,2.0,84.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017086,4.0,4.0,5.0,4.0,4.0,90.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017088,5.0,5.0,5.0,5.0,5.0,97.0,91.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017089,5.0,5.0,5.0,5.0,5.0,94.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017090,5.0,5.0,5.0,5.0,5.0,99.0,92.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017091,5.0,5.0,5.0,5.0,4.0,88.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017092,5.0,4.0,4.0,5.0,5.0,91.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017093,4.0,4.0,5.0,5.0,3.0,85.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017094,4.0,4.0,5.0,4.0,4.0,91.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017095,4.0,4.0,5.0,4.0,4.0,86.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017096,4.0,5.0,4.0,4.0,4.0,88.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017097,5.0,4.0,5.0,5.0,4.0,94.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017100,5.0,5.0,5.0,5.0,5.0,96.0,92.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017103,,,,,,90.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017104,5.0,4.0,5.0,5.0,4.0,89.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017106,,,,,,92.0,92.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017107,5.0,5.0,5.0,5.0,4.0,94.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017109,5.0,5.0,5.0,5.0,5.0,100.0,99.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017112,,,,,,96.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017115,5.0,4.0,5.0,5.0,4.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017116,4.0,5.0,4.0,4.0,4.0,90.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017117,4.0,4.0,5.0,4.0,4.0,92.0,91.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017118,4.0,4.0,5.0,4.0,4.0,86.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017119,4.0,4.0,4.0,4.0,4.0,86.0,76.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017121,5.0,5.0,5.0,5.0,5.0,95.0,91.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017123,5.0,4.0,5.0,5.0,4.0,87.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017124,5.0,4.0,5.0,5.0,5.0,93.0,91.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017125,4.0,4.0,5.0,5.0,3.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017128,5.0,4.0,5.0,5.0,4.0,92.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017129,5.0,5.0,5.0,5.0,4.0,91.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017132,4.0,5.0,5.0,2.0,5.0,96.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017134,5.0,4.0,5.0,5.0,4.0,90.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017135,5.0,5.0,5.0,5.0,5.0,94.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017136,,,,,,88.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017142,4.0,4.0,4.0,4.0,4.0,85.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017143,5.0,4.0,5.0,4.0,5.0,91.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017145,4.0,4.0,5.0,4.0,4.0,90.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017146,,,,,,92.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017147,5.0,5.0,5.0,5.0,4.0,92.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017148,4.0,4.0,4.0,4.0,3.0,87.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017149,4.0,4.0,4.0,4.0,4.0,89.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017151,4.0,4.0,5.0,4.0,4.0,85.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017152,5.0,5.0,5.0,5.0,5.0,97.0,93.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017153,4.0,4.0,4.0,4.0,4.0,92.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017154,2.0,2.0,3.0,2.0,1.0,79.0,66.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017155,4.0,4.0,4.0,4.0,4.0,87.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017157,4.0,4.0,4.0,4.0,4.0,92.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017158,5.0,5.0,5.0,5.0,4.0,91.0,90.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017159,4.0,4.0,4.0,4.0,4.0,88.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017160,5.0,4.0,5.0,5.0,5.0,90.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017161,3.0,3.0,4.0,2.0,3.0,82.0,78.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017163,5.0,5.0,5.0,3.0,5.0,91.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017164,4.0,4.0,5.0,4.0,4.0,90.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017165,5.0,5.0,5.0,4.0,5.0,95.0,90.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017166,4.0,4.0,5.0,2.0,4.0,90.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017167,4.0,4.0,5.0,3.0,3.0,89.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017168,3.0,3.0,3.0,4.0,2.0,81.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017170,4.0,5.0,5.0,3.0,4.0,90.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017171,5.0,4.0,5.0,5.0,4.0,87.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017175,4.0,4.0,4.0,2.0,4.0,87.0,78.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017176,4.0,3.0,5.0,3.0,3.0,87.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017177,5.0,5.0,5.0,5.0,5.0,93.0,91.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017178,4.0,4.0,5.0,4.0,4.0,89.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017179,4.0,4.0,4.0,3.0,3.0,85.0,76.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017180,4.0,4.0,3.0,3.0,4.0,90.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017182,5.0,5.0,5.0,5.0,5.0,95.0,94.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017300,5.0,4.0,5.0,5.0,4.0,88.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017305,4.0,4.0,4.0,5.0,4.0,91.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017307,5.0,5.0,5.0,5.0,4.0,88.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017319,3.0,3.0,4.0,3.0,3.0,85.0,76.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017320,5.0,4.0,5.0,5.0,4.0,90.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017323,5.0,5.0,5.0,5.0,4.0,90.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017324,4.0,4.0,4.0,5.0,4.0,86.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017326,5.0,5.0,5.0,5.0,5.0,93.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017327,5.0,5.0,5.0,5.0,4.0,92.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017328,5.0,4.0,5.0,5.0,4.0,88.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017878,5.0,4.0,5.0,5.0,5.0,92.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017879,5.0,4.0,5.0,5.0,4.0,91.0,93.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017880,4.0,4.0,4.0,5.0,4.0,88.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017881,4.0,4.0,5.0,5.0,3.0,85.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027001,3.0,3.0,3.0,3.0,3.0,83.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027006,,,,,,83.0,93.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027008,3.0,3.0,3.0,2.0,2.0,83.0,74.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027009,,,,,,98.0,100.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027010,,,,,,93.0,92.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027014,,,,,,92.0,90.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027022,,,,,,77.0,76.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027034,4.0,4.0,5.0,2.0,3.0,90.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
027038,5.0,5.0,5.0,5.0,4.0,88.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037015,4.0,4.0,4.0,3.0,4.0,87.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037016,3.0,3.0,3.0,3.0,3.0,88.0,75.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037024,3.0,4.0,3.0,2.0,4.0,89.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037027,4.0,4.0,3.0,4.0,4.0,88.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037030,4.0,4.0,4.0,4.0,4.0,90.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037036,3.0,2.0,4.0,1.0,3.0,87.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037037,3.0,4.0,4.0,2.0,3.0,86.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037042,4.0,5.0,5.0,3.0,4.0,89.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037047,4.0,4.0,5.0,4.0,4.0,86.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037050,5.0,4.0,5.0,5.0,4.0,90.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037057,4.0,4.0,4.0,5.0,3.0,85.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037070,3.0,3.0,3.0,3.0,3.0,85.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037099,5.0,5.0,5.0,4.0,5.0,92.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037106,4.0,4.0,4.0,3.0,4.0,85.0,78.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037114,4.0,3.0,4.0,5.0,3.0,86.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037125,,,,,,97.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037129,3.0,3.0,2.0,2.0,3.0,83.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037130,4.0,4.0,4.0,3.0,4.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037132,3.0,3.0,2.0,2.0,3.0,87.0,74.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037139,4.0,5.0,5.0,4.0,3.0,83.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037144,3.0,3.0,4.0,2.0,3.0,83.0,74.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037154,4.0,5.0,4.0,3.0,4.0,91.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037185,4.0,4.0,4.0,4.0,3.0,85.0,78.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037188,5.0,4.0,5.0,5.0,4.0,90.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037192,3.0,3.0,3.0,3.0,2.0,79.0,75.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037199,4.0,4.0,5.0,2.0,4.0,87.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037202,3.0,3.0,3.0,2.0,2.0,80.0,72.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037205,,,,,,100.0,55.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037213,4.0,4.0,4.0,2.0,4.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037215,4.0,4.0,4.0,4.0,4.0,87.0,71.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037217,4.0,3.0,4.0,4.0,3.0,82.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037220,2.0,2.0,2.0,2.0,2.0,80.0,66.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037221,2.0,2.0,3.0,3.0,1.0,77.0,68.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037226,2.0,2.0,2.0,2.0,3.0,85.0,73.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037230,5.0,5.0,5.0,5.0,4.0,94.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037232,3.0,3.0,3.0,3.0,2.0,76.0,66.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037233,,,,,,42.0,25.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037234,,,,,,83.0,46.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037235,4.0,5.0,5.0,2.0,4.0,88.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037239,3.0,3.0,3.0,2.0,3.0,83.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037243,,,,,,100.0,67.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037246,3.0,4.0,4.0,2.0,3.0,84.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037247,4.0,4.0,4.0,5.0,4.0,87.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037248,3.0,4.0,3.0,3.0,3.0,86.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037249,4.0,4.0,4.0,2.0,5.0,95.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037250,3.0,3.0,3.0,2.0,3.0,79.0,73.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037251,,,,,,72.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037252,5.0,4.0,5.0,5.0,5.0,93.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037253,3.0,3.0,3.0,2.0,2.0,82.0,76.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037258,2.0,2.0,2.0,2.0,1.0,78.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037260,4.0,4.0,4.0,3.0,4.0,86.0,75.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037261,,,,,,98.0,73.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037262,3.0,3.0,3.0,2.0,2.0,82.0,69.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037264,3.0,3.0,2.0,3.0,3.0,84.0,75.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037269,2.0,2.0,2.0,2.0,1.0,74.0,71.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037271,3.0,3.0,3.0,2.0,2.0,77.0,71.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037280,4.0,4.0,4.0,3.0,3.0,84.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037281,4.0,4.0,5.0,3.0,3.0,86.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037282,3.0,3.0,4.0,3.0,3.0,80.0,74.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037286,,,,,,91.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037288,2.0,2.0,2.0,1.0,1.0,78.0,64.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037290,3.0,3.0,3.0,4.0,3.0,85.0,72.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037295,1.0,1.0,1.0,2.0,1.0,68.0,54.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037297,,,,,,92.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037298,5.0,4.0,5.0,5.0,4.0,89.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037299,,,,,,100.0,96.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037402,4.0,4.0,5.0,3.0,4.0,91.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037403,4.0,4.0,5.0,4.0,4.0,94.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037405,2.0,3.0,2.0,1.0,1.0,81.0,67.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037410,2.0,3.0,1.0,2.0,2.0,72.0,68.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037412,4.0,4.0,4.0,5.0,4.0,90.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037413,3.0,3.0,3.0,2.0,3.0,83.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037414,2.0,2.0,2.0,2.0,2.0,78.0,65.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037416,4.0,4.0,5.0,4.0,3.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037417,4.0,4.0,4.0,5.0,4.0,89.0,73.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037418,3.0,4.0,3.0,2.0,3.0,87.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037419,3.0,3.0,4.0,3.0,3.0,77.0,73.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037422,2.0,3.0,2.0,1.0,2.0,76.0,66.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037426,,,,,,64.0,62.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037432,1.0,2.0,1.0,1.0,1.0,76.0,66.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037433,3.0,3.0,3.0,2.0,2.0,81.0,72.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037436,3.0,3.0,2.0,4.0,3.0,82.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037437,2.0,2.0,1.0,2.0,2.0,82.0,71.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037438,3.0,4.0,4.0,2.0,3.0,84.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037439,2.0,2.0,2.0,2.0,2.0,73.0,68.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037442,,,,,,91.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037447,3.0,3.0,3.0,2.0,2.0,76.0,68.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037450,4.0,4.0,4.0,4.0,4.0,88.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037451,4.0,4.0,5.0,2.0,3.0,81.0,76.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037452,4.0,4.0,3.0,4.0,3.0,85.0,74.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037453,,,,,,89.0,21.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037455,3.0,3.0,4.0,3.0,2.0,77.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037456,5.0,5.0,5.0,5.0,5.0,93.0,90.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037459,,,,,,97.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037462,,,,,,74.0,53.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037469,,,,,,77.0,69.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037472,5.0,5.0,5.0,5.0,5.0,92.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037475,3.0,4.0,4.0,1.0,4.0,85.0,75.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037477,4.0,4.0,4.0,5.0,4.0,90.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037478,,,,,,92.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037481,1.0,1.0,2.0,1.0,1.0,72.0,65.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037482,3.0,3.0,2.0,2.0,3.0,83.0,74.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
037485,4.0,4.0,4.0,5.0,4.0,83.0,90.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
