ccn,cahps_facility_star,cahps_nephrologist_comm_star,cahps_center_care_star,cahps_information_star,cahps_nephrologist_star,cahps_staff_star,source,source_date
032626,4.0,3.0,4.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032628,1.0,2.0,1.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032629,3.0,1.0,2.0,3.0,1.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032630,1.0,1.0,1.0,1.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032634,1.0,1.0,1.0,2.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032635,4.0,3.0,3.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032639,3.0,4.0,3.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032640,2.0,2.0,1.0,1.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032643,4.0,2.0,4.0,4.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032644,5.0,5.0,5.0,4.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032646,2.0,2.0,2.0,1.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032647,3.0,2.0,3.0,3.0,1.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032648,2.0,3.0,3.0,3.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032650,4.0,2.0,2.0,1.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032651,4.0,2.0,5.0,4.0,2.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032656,4.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032657,4.0,5.0,4.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032658,2.0,3.0,2.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032659,4.0,3.0,3.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032662,3.0,3.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042501,5.0,3.0,5.0,4.0,4.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042508,3.0,3.0,5.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042513,1.0,2.0,1.0,1.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042514,4.0,4.0,3.0,2.0,5.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042521,2.0,3.0,2.0,2.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042531,5.0,5.0,5.0,3.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042532,4.0,5.0,4.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042536,2.0,3.0,2.0,3.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042545,2.0,3.0,1.0,4.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042563,3.0,3.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042564,2.0,2.0,3.0,4.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042568,3.0,3.0,4.0,4.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042573,2.0,3.0,1.0,2.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042574,4.0,3.0,3.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042575,3.0,2.0,3.0,3.0,2.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042585,1.0,4.0,1.0,4.0,5.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042598,2.0,3.0,2.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042599,3.0,2.0,3.0,2.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
042600,4.0,4.0,5.0,5.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052305,4.0,4.0,5.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052311,4.0,4.0,4.0,2.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052323,5.0,3.0,4.0,4.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052334,4.0,3.0,4.0,5.0,4.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052502,4.0,2.0,4.0,3.0,2.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052503,2.0,4.0,3.0,4.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052505,3.0,2.0,2.0,3.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052513,2.0,3.0,3.0,3.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052514,3.0,3.0,3.0,2.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052515,4.0,3.0,2.0,1.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052521,2.0,3.0,3.0,5.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052523,4.0,3.0,4.0,4.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052524,3.0,5.0,5.0,5.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052525,3.0,2.0,3.0,2.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052526,4.0,4.0,4.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052528,4.0,4.0,4.0,5.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052531,5.0,5.0,5.0,4.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052532,3.0,2.0,3.0,3.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052534,3.0,1.0,2.0,1.0,2.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052536,4.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052538,2.0,3.0,2.0,1.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052541,2.0,3.0,2.0,3.0,5.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052543,4.0,2.0,3.0,3.0,2.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052544,3.0,3.0,2.0,1.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052545,2.0,3.0,3.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052546,4.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052549,2.0,3.0,2.0,1.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052552,5.0,3.0,4.0,4.0,4.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052553,3.0,2.0,3.0,4.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052554,2.0,3.0,4.0,3.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052555,4.0,5.0,4.0,2.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052556,5.0,5.0,5.0,4.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052560,4.0,3.0,5.0,2.0,2.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052561,2.0,3.0,2.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052563,4.0,4.0,4.0,5.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052564,3.0,4.0,4.0,5.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052567,4.0,3.0,5.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052568,4.0,2.0,4.0,2.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052569,5.0,3.0,5.0,5.0,4.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052571,3.0,2.0,1.0,2.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052572,4.0,3.0,3.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052574,4.0,3.0,3.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052576,3.0,2.0,3.0,3.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052579,3.0,3.0,4.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052580,3.0,2.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052581,3.0,2.0,3.0,3.0,2.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052583,4.0,4.0,4.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052589,3.0,2.0,3.0,2.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052590,3.0,3.0,3.0,2.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052591,4.0,3.0,4.0,4.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052597,5.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052600,4.0,5.0,5.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052601,4.0,3.0,4.0,1.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052602,3.0,2.0,4.0,5.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052604,4.0,4.0,3.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052606,3.0,2.0,1.0,2.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052608,4.0,3.0,4.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052609,5.0,4.0,5.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052610,3.0,3.0,3.0,2.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052612,4.0,2.0,2.0,4.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052613,2.0,2.0,1.0,3.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052615,4.0,4.0,3.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052618,3.0,4.0,4.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052620,2.0,1.0,2.0,2.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052622,2.0,3.0,2.0,4.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052624,4.0,4.0,4.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052628,3.0,5.0,4.0,2.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052629,3.0,4.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052630,3.0,2.0,2.0,1.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052631,1.0,1.0,1.0,1.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052633,2.0,2.0,2.0,1.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052634,2.0,2.0,2.0,1.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052637,3.0,3.0,3.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052644,4.0,4.0,5.0,5.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052647,5.0,3.0,5.0,5.0,3.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052648,4.0,4.0,3.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052652,3.0,2.0,4.0,4.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052653,2.0,4.0,2.0,2.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052654,3.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
052656,3.0,4.0,4.0,4.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
