ccn,facility_name,address,city,state,zip,county,ownership,certification_date,source,source_date
001555,SUPREME CARE HOSPICE INC,"13201 NORTH 35TH AVENUE, SUITE B7A",PHOENIX,AZ,85029,Maricopa,,04/05/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001556,ALL TIME HOSPICE CARE INC,13231 N35TH AVE STE A11-C,PHOENIX,AZ,85029,Maricopa,,03/16/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001557,AMERICAN CARE CONCEPTS HOSPICE LLC,"105 NORTH PASADENA STREET, SUITE D",GILBERT,AZ,85233,Maricopa,,06/27/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001559,MANOR HOSPICE LTD,"4150 WEST PEORIA AVENUE, SUITE B130- A",PHOENIX,AZ,85029,Maricopa,,04/20/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001561,"NUEVA HOSPICE & PALLIATIVE CARE, LLC","14362 NORTH FRANK LLOYD WRIGHT BLVD, SUITE 2162",SCOTTSDALE,AZ,85260,Maricopa,,06/08/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001562,ASCENSION HOSPICE LLC,6263 NORTH SCOTTSDALE RD STE 138 OFFICE A,SCOTTSDALE,AZ,85250,Maricopa,,05/01/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001563,ANTHEM EAST LLC,"105 NORTH PASADENA STREET, SUITE B",GILBERT,AZ,85233,Maricopa,,06/02/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001565,ADVENT HOSPICE LLC,"4025 EAST CHANDLER BOULEVARD, SUITE 52B",PHOENIX,AZ,85048,Maricopa,,08/16/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001566,ANGELS HEART HOSPICE INC,"722 EAST OSBORN ROAD, SUITE 305",PHOENIX,AZ,85014,Maricopa,,07/31/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001567,KIND HEARTS HOSPICE INC,2 NORTH CENTRAL AVENUE SUITE 1800 UNIT 1918,PHOENIX,AZ,85004,Maricopa,,08/15/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001568,ENCORE HOSPICE LLC,4122 W INNOVATIVE DRIVE STE 101 H & I,PHOENIX,AZ,85086,Maricopa,,08/15/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001570,PRESTIGE HEALTH HOSPICE,4555 S PALO VERDE RD SUITE 163,TUCSON,AZ,85714,Pima,,06/07/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001571,BAYADA HOSPICE,7225 N MONA LISA RD,TUCSON,AZ,85741,Pima,,10/25/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001572,POSITIVE NATURE HOSPICE LLC,"7620 N HARTMAN LANE, SUITE 180B",TUCSON,AZ,85743,Maricopa,,07/21/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001574,HOSPICE IN THE DESERT LLC,639 EAST SPEEDWAY BLVD,TUCSON,AZ,85705,Maricopa,,09/06/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001575,CREEK VIEW HOSPICE LLC,4657 EAST COTTON GIN LOOP BLDG D SUITE 102B,PHOENIX,AZ,85040,Maricopa,,08/02/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001577,CARELIFE HOSPICE LLC,13832 N 32ND STREET,PHOENIX,AZ,85032,Maricopa,,02/15/2024,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001578,OAKMONT HOSPICE LLC,2432 WEST PEORIA AVENUE SUITE 1345-A,PHOENIX,AZ,85029,Maricopa,,10/08/2024,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001579,SALUS HOSPICE,"8701 EAST VISTA BONITA DRIVE, SUITE 210-5",SCOTTSDALE,AZ,85255,Maricopa,,04/15/2024,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001580,AMG HOSPICE OF ARIZONA,"3970 EAST RIGGS ROAD, SUITE 2",CHANDLER,AZ,85249,Maricopa,,06/26/2025,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011500,BAPTIST HOSPICE,2105 EAST SOUTH BLVD.,MONTGOMERY,AL,36116,Montgomery,Other,03/23/1984,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,5582 APPLE PARK DR,BIRMINGHAM,AL,35235,Jefferson,For-Profit,05/24/1984,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011502,AVEANNA HOSPICE OF FAIRHOPE,22502 US HIGHWAY 98,FAIRHOPE,AL,36532,Baldwin,For-Profit,07/03/1984,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011503,SAAD HOSPICE SERVICES,"1515 UNIVERSITY BOULEVARD, SOUTH",MOBILE,AL,36609,Mobile,For-Profit,01/08/1986,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011505,HOSPICE FAMILY CARE,10000 SERENITY LANE SOUTHEAST,HUNTSVILLE,AL,35803,Madison,For-Profit,10/30/1986,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011506,SOUTHERNCARE NEW BEACON - JASPER,"300 NORTH AIRPORT ROAD, UNITS 3 AND 4",JASPER,AL,35504,Walker,For-Profit,11/19/1986,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011508,SOUTHERNCARE NEW BEACON - ANNISTON,"1419 LEIGHTON AVENUE, UNIT A",ANNISTON,AL,36207,Calhoun,For-Profit,12/22/1987,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011510,CULLMAN REGIONAL HOSPICE,5788 ALABAMA HWY 157,CULLMAN,AL,35058,Cullman,Combination Government & Non-Profit,02/18/1988,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011511,"HOSPICE OF THE VALLEY, INC","240 JOHNSTON STREET, SE",DECATUR,AL,35601,Morgan,Non-Profit,03/03/1988,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011512,SOUTHERNCARE NEW BEACON SCOTTSBORO,301 S. HOUSTON ST,SCOTTSBORO,AL,35768,Jackson,For-Profit,04/07/1988,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011513,SHEPHERD'S COVE HOSPICE,408 MARTLING ROAD,ALBERTVILLE,AL,35951,Marshall,Other,04/14/1988,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011514,COMPASSUS SOUTHERN ALABAMA,"2401 STEMLEY BRIDGE ROAD, STE 9",PELL CITY,AL,35128,St. Clair,For-Profit,06/02/1988,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011516,HOSPICE OF LIMESTONE COUNTY,405 SOUTH MARION STREET,ATHENS,AL,35611,Limestone,For-Profit,02/09/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011517,HOSPICE OF WEST ALABAMA,3851 LOOP ROAD,TUSCALOOSA,AL,35404,Tuscaloosa,Non-Profit,02/08/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011522,GENTIVA,"1208 RUCKER BLVD, SUITE - A",ENTERPRISE,AL,36330,Coffee,For-Profit,11/03/1989,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011524,CHATTAHOOCHEE HOSPICE INC,6 MEDICAL PARK NORTH,VALLEY,AL,36854,Chambers,Non-Profit,01/05/1990,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011526,LAKESIDE HOSPICE INC,4010 MASTERS ROAD,PELL CITY,AL,35128,St. Clair,Non-Profit,03/28/1991,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011527,AMEDISYS HOSPICE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 160",BIRMINGHAM,AL,35209,Jefferson,For-Profit,05/02/1991,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011528,COMPASSUS-AUBURN,"333 SAMFORD VILLAGE COURT, SUITE B",AUBURN,AL,36830,Lee,Combination Government & Non-Profit,12/11/1991,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011534,HOSPICE OF NORTHWEST ALABAMA,1788 US HIGHWAY 46,WINFIELD,AL,35594,Marion,Non-Profit,03/15/1994,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011538,HOSPICE OF CLAY COUNTY,83825 HIGHWAY 9  P O BOX 1270,ASHLAND,AL,36251,Clay,For-Profit,12/12/1994,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011543,ENHABIT HOSPICE BIRMINGHAM,"1 CHASE CORPORATE DRIVE, SUITE 210 B",HOOVER,AL,35244,Jefferson,For-Profit,06/20/1995,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011546,ACG HOSPICE,1450 N MCKENZIE STREET,FOLEY,AL,36535,Baldwin,For-Profit,02/28/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011548,ACG HOSPICE-BIRMINGHAM,"3500 BLUE LAKE DRIVE, STE 445",BIRMINGHAM,AL,35243,Jefferson,For-Profit,08/22/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011549,TRADITIONS HEALTH OF SELMA,3005 CITIZENS PARKWAY,SELMA,AL,36701,Dallas,Other,10/18/1996,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011558,ALABAMA HOSPICE CARE OF MOBILE,851 E I-654 SERVICE ROAD SOUTH SUITE 1050,MOBILE,AL,36608,Mobile,Other,10/03/1997,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011566,AMEDISYS HOSPICE OF DECATUR,"725 BELTLINE ROAD SW, STE D",DECATUR,AL,35601,Morgan,For-Profit,10/08/1997,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011567,AMEDISYS HOSPICE OF MOBILE,RSA BATTLE HOUSE TOWER BUILDING,MOBILE,AL,36602,Mobile,For-Profit,10/22/1997,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011576,AVEANNA HOSPICE OF DEMOPOLIS,"547 U.S. HIGHWAY 80 WEST, SUITE 2",DEMOPOLIS,AL,36732,Marengo,For-Profit,03/23/2000,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011577,VITAS HEALTHCARE OF DOTHAN,1435 WEST MAIN STREET,DOTHAN,AL,36301,Houston,For-Profit,12/21/2000,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011579,COMPASSUS-GADSDEN,1735 HIGHWAY 77,SOUTHSIDE,AL,35907,Etowah,For-Profit,02/16/2001,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011582,AVEANNA HOSPICE OF GREENVILLE,23 JAMESON LANE,GREENVILLE,AL,36037,Butler,For-Profit,06/12/2001,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011583,COMMUNITY HOSPICE CARE,1526 GILMER AVENUE,TALLASSEE,AL,36078,Elmore,For-Profit,06/13/2001,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011586,AMEDISYS HOSPICE OF HAMILTON,123 1ST AVENUE SOUTHWEST,HAMILTON,AL,35470,Marion,For-Profit,02/06/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011591,ACG HOSPICE-GARDENDALE,"651 MAIN STREET, STE 159",GARDENDALE,AL,35071,Jefferson,For-Profit,10/02/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011592,PREFERRED HOSPICE,1120 BRADSHAW DR,FLORENCE,AL,35630,Lauderdale,For-Profit,12/18/2002,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011597,AVEANNA HOSPICE OF ANDALUSIA,"820 SOUTH THREE NOTCH STREET, SUITE C",ANDALUSIA,AL,36420,Covington,For-Profit,05/14/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011598,VITALCARING GROUP,201-B SHELL ROAD,SARALAND,AL,36571,Mobile,For-Profit,05/29/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011600,ENHABIT HOSPICE PRATTVILLE,4782 WOODMERE BLVD SUITE C,MONTGOMERY,AL,36106,Montgomery,For-Profit,07/22/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011602,GENTIVA PHENIX CITY,730 N DEAN RD. SUITE 300,AUBURN,AL,36830,Lee,For-Profit,06/05/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011603,"DAYSPRING HOSPICE, LLC",100 PROFESSIONAL LANE,ENTERPRISE,AL,36330,Coffee,Other,07/24/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011604,"LEGACY HOSPICE OF THE EAST, LLC","951 US HWY 80 WEST, SUITE D",DEMOPOLIS,AL,36732,Marengo,For-Profit,08/28/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011605,GENTIVA MOBILE,"2800 DAUPHIN STREET, SUITE 103",MOBILE,AL,36606,Mobile,For-Profit,08/28/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011607,AVEANNA HOSPICE OF PELHAM,"245 CAHABA VALLEY PKWY, SUITE 110",PELHAM,AL,35124,Shelby,For-Profit,10/16/2003,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011612,COLUMBUS HOSPICE OF ALABAMA,"1200 14TH STREET, UNIT D",PHENIX CITY,AL,36867,Russell,Other,01/23/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011617,AVEANNA HOSPICE OF PELL CITY,2048 MARTIN STREET S,PELL CITY,AL,35128,St. Clair,For-Profit,04/22/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011621,IVY CREEK HOSPICE,201 MARIARDEN ROAD,DADEVILLE,AL,36853,Tallapoosa,For-Profit,11/02/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011622,"HOSPICE OF NORTH ALABAMA, LLC","2905 WESTCORP BLVD, STE 115, 116, 117",HUNTSVILLE,AL,35805,Madison,Other,11/03/2004,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011623,AMEDISYS HOSPICE OF MONTGOMERY,8160 DECKER LANE,MONTGOMERY,AL,36117,Montgomery,Other,01/05/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011624,AFFINITY HOSPICE,"117 GEMINI CIRCLE, SUITE 415",BIRMINGHAM,AL,35209,Jefferson,For-Profit,03/08/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011626,HOSPICE OF ALABAMA,"266 INDUSTRIAL DRIVE, STE. B",RAINSVILLE,AL,35986,DeKalb,For-Profit,04/14/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011628,COMMUNITY HOSPICE OF DALE MEDICAL CENTER,311 JAMES STREET,OZARK,AL,36360,Dale,Combination Government & Non-Profit,05/10/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011629,ADORATION HOSPICE,1631 HAMRIC DR EAST,OXFORD,AL,35203,Calhoun,For-Profit,05/25/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011632,ALABAMA HOSPICE OF THE SHOALS,"1404 EAST AVALON AVENUE, SUITE C",TUSCUMBIA,AL,35674,Colbert,For-Profit,10/20/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011634,HEARTLITE HOSPICE,401 S. MARKET STREET,SCOTTSBORO,AL,35768,Jackson,For-Profit,11/02/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011635,AVEANNA HOSPICE OF SCOTTSBORO,"23730 JOHN T REID PKWY, SUITE A",SCOTTSBORO,AL,35768,Jackson,For-Profit,11/02/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011636,COMPASSUS-TROY,121 SCOUTING CIRCLE,TROY,AL,36081,Pike,For-Profit,11/17/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011638,EXPECT CARE HOSPICE,501 RIVERCHASE PARKWAY EAST,HOOVER,AL,35255,Shelby,For-Profit,11/02/2005,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011642,SPRINGHILL HOME HEALTH AND HOSPICE,1110 MONTLIMAR DRIVE SUITE 700,MOBILE,AL,36609,Mobile,For-Profit,01/18/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011643,AVEANNA  HOSPICE OF CULLMAN,407 4TH AVENUE SW,CULLMAN,AL,35055,Cullman,For-Profit,01/05/2006,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011654,AVEANNA HOSPICE OF DECATUR,"2424 DANVILLE ROAD, SUITE M",DECATUR,AL,35603,Morgan,For-Profit,04/12/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011655,SOUTHERNCARE GREENVILLE,501 E COMMERCE STREET,GREENVILLE,AL,36037,Butler,Other,04/13/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011656,ACG HOSPICE-ENTERPRISE,"201 S MAIN STREET, STE. 1",ENTERPRISE,AL,36330,Coffee,Other,04/11/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011657,ALABAMA HOSPICE CARE OF BIRMINGHAM,5998 DEERFOOT PARKWAY,TRUSSVILLE,AL,35173,Jefferson,For-Profit,04/12/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011660,OASIS HEALTHCARE - MOODY,"3522 VANN RD, STE 104",BIRMINGHAM,AL,35235,Jefferson,For-Profit,06/29/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011661,COOSA VALLEY HOSPICE,210 WEST SPRING STREET,SYLACAUGA,AL,35150,Talladega,Government,07/16/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
011662,ACCESS HOSPICE,1706 HWY 78 E,JASPER,AL,35501,Walker,For-Profit,07/12/2007,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
