ccn,five_star,mortality_rate,hospitalization_rate,readmission_rate,transfusion_rate,source,source_date
012535,3.0,20.7,228.2,26.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012536,2.0,20.0,133.1,21.8,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012537,3.0,18.2,106.3,24.8,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012538,2.0,17.0,137.0,36.6,27.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012540,3.0,28.0,83.5,28.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012541,5.0,16.0,75.5,17.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012542,4.0,21.2,231.0,28.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012543,1.0,30.3,125.0,22.2,35.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012544,2.0,30.2,227.4,36.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012545,1.0,23.8,224.7,31.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012546,3.0,22.1,165.7,21.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012547,2.0,23.0,177.8,27.0,32.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012548,3.0,30.0,77.2,12.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012550,2.0,19.6,169.3,34.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012551,3.0,28.3,85.1,30.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012552,4.0,17.0,67.5,23.6,0.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012553,3.0,28.2,98.9,23.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012556,3.0,30.2,125.6,33.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012558,2.0,31.1,212.1,29.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012559,2.0,25.7,122.2,26.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012561,3.0,27.6,137.1,21.8,37.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012562,3.0,23.9,144.1,47.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012563,4.0,16.9,86.9,18.0,0.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012566,3.0,28.7,105.1,20.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012568,3.0,20.7,117.8,19.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012570,1.0,26.0,168.4,24.9,58.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012572,2.0,24.6,149.4,33.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012573,5.0,27.1,83.2,33.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012575,3.0,20.1,182.0,27.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012576,1.0,26.1,204.7,29.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012579,3.0,22.7,145.8,28.0,18.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012580,3.0,23.2,77.7,17.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012582,3.0,23.8,93.5,22.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012585,2.0,21.9,133.0,21.9,5.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012588,2.0,28.8,110.5,28.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012589,2.0,22.9,167.5,29.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012590,2.0,17.8,121.5,29.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012591,3.0,18.7,130.3,25.3,26.5,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012592,3.0,29.9,99.9,5.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012593,3.0,23.2,119.6,23.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012594,3.0,17.1,116.3,30.2,38.5,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012595,2.0,27.9,141.2,28.6,95.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012596,2.0,22.8,111.1,18.7,53.5,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012597,3.0,19.6,113.0,30.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012598,1.0,19.8,138.3,34.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012599,2.0,23.9,142.8,33.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012600,3.0,35.1,164.4,26.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012602,3.0,21.2,143.4,22.2,54.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012603,2.0,28.4,100.3,37.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012604,2.0,27.2,133.8,50.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012606,1.0,22.5,154.0,27.8,52.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012607,3.0,27.6,105.5,32.8,23.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012608,3.0,28.6,115.3,33.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012609,3.0,29.2,156.8,37.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012610,3.0,21.2,99.4,30.2,28.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012611,2.0,31.8,193.8,30.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012612,3.0,30.8,111.4,22.0,55.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012613,1.0,24.0,152.7,26.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012614,3.0,24.9,117.7,22.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012615,5.0,14.8,110.8,15.3,13.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012616,2.0,24.7,149.4,18.8,53.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012617,4.0,22.7,86.5,18.2,35.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012618,1.0,26.9,211.6,28.8,74.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012619,2.0,31.4,226.3,39.4,70.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012620,3.0,25.4,153.2,43.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012621,3.0,20.3,60.4,15.4,10.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012622,4.0,37.8,146.7,0.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012623,2.0,30.3,146.1,24.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012624,2.0,28.7,125.0,24.1,9.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012625,2.0,22.2,130.0,19.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012626,3.0,16.9,118.3,28.8,34.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012628,4.0,17.2,95.7,32.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012629,4.0,25.6,171.5,25.4,46.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012630,3.0,24.6,131.3,25.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012631,3.0,26.5,124.4,16.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012632,3.0,16.2,191.5,36.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012633,2.0,22.5,112.9,26.5,7.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012634,4.0,26.7,110.6,25.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012636,2.0,21.1,90.4,15.7,28.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012638,3.0,28.0,187.9,25.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012639,3.0,19.5,96.5,30.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012640,2.0,28.3,105.6,10.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012641,1.0,16.4,153.1,27.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012642,4.0,27.7,124.7,18.1,0.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012643,3.0,19.4,124.5,28.7,15.5,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012644,3.0,18.8,89.9,14.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012645,2.0,23.6,103.7,19.6,8.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012646,3.0,12.7,90.8,24.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012647,3.0,23.2,132.3,14.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012648,2.0,23.0,153.5,31.4,7.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012649,3.0,24.7,146.3,38.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012650,2.0,24.6,114.8,21.9,138.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012651,3.0,25.2,159.8,18.8,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012652,3.0,24.4,158.8,36.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012653,2.0,25.3,129.2,28.0,9.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012654,3.0,24.2,110.6,21.6,39.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012656,2.0,13.4,154.3,29.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012657,4.0,25.8,163.9,31.5,35.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012659,3.0,32.0,110.8,24.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012660,2.0,30.6,211.9,42.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012662,5.0,21.8,77.6,34.8,20.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012663,4.0,20.7,173.7,12.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012664,3.0,20.8,102.8,11.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012665,4.0,16.9,105.9,22.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012666,3.0,39.4,83.1,14.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012667,3.0,20.9,140.7,15.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012669,2.0,25.0,167.4,32.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012670,3.0,27.7,123.5,33.4,27.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012671,4.0,29.0,124.2,19.8,56.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012672,2.0,21.2,142.1,21.8,60.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012673,,37.5,204.5,35.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012676,3.0,16.2,131.7,15.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012678,4.0,15.2,119.3,19.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012679,3.0,28.5,94.2,13.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012680,3.0,27.1,120.1,25.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012681,2.0,23.0,207.5,27.9,74.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012684,3.0,24.7,88.1,18.9,12.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012685,,36.1,236.1,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012686,2.0,29.7,69.0,7.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012687,2.0,25.0,155.9,32.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012688,5.0,14.6,61.4,26.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012692,3.0,23.8,155.1,22.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012693,3.0,33.5,121.4,21.1,23.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012695,3.0,20.4,152.1,29.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012696,2.0,26.6,218.0,40.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012697,3.0,26.6,118.7,25.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012699,3.0,19.4,117.6,11.8,21.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012700,1.0,26.4,216.6,26.0,51.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012701,2.0,29.8,168.2,32.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012702,2.0,18.0,121.1,23.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012703,3.0,12.6,133.9,40.8,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012704,1.0,16.4,100.4,6.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012706,4.0,15.7,158.8,18.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012707,1.0,28.7,134.1,26.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012708,3.0,30.2,130.1,25.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012709,1.0,24.5,136.2,29.5,34.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012710,4.0,26.4,139.1,19.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012711,3.0,22.6,139.4,35.2,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012712,3.0,18.1,97.2,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012714,4.0,10.4,143.3,19.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012716,3.0,41.0,175.6,28.5,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012717,2.0,,143.5,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012718,1.0,32.5,255.5,38.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012719,1.0,29.4,217.3,32.8,96.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012720,4.0,,116.4,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012721,,,,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012723,,,,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012725,,,,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012727,,,,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022500,3.0,23.2,107.5,26.0,17.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022502,3.0,24.9,102.1,16.6,24.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022503,3.0,20.3,140.2,35.7,43.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022504,5.0,24.3,101.4,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022506,5.0,15.4,105.1,19.3,12.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022508,5.0,20.1,71.0,19.2,11.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
022509,5.0,16.6,104.2,28.6,12.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032302,3.0,8.3,151.2,38.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032314,,,140.6,24.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032315,3.0,18.0,166.7,29.5,35.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032316,,,,,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032500,3.0,24.2,169.5,30.4,68.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032501,3.0,24.4,142.9,26.8,25.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032502,3.0,24.5,116.2,24.0,35.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032503,3.0,23.7,135.7,30.1,20.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032506,3.0,13.9,118.5,23.4,26.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032508,3.0,20.4,237.1,38.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032509,2.0,27.1,145.0,24.7,52.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032513,3.0,19.9,126.2,41.2,30.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032514,3.0,17.3,145.6,24.8,14.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032516,1.0,25.6,164.5,29.9,68.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032517,2.0,24.5,194.1,34.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032518,3.0,16.6,93.4,17.6,11.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032520,3.0,26.5,128.7,21.5,25.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032521,3.0,18.3,148.0,30.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032522,3.0,30.1,182.3,25.8,12.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032523,3.0,18.5,177.6,33.1,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032524,3.0,16.2,114.5,24.0,6.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032525,2.0,19.5,145.9,27.1,40.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032526,2.0,28.6,194.4,34.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032528,3.0,23.4,162.6,25.5,30.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032530,3.0,19.4,165.3,24.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032533,2.0,26.2,130.9,25.6,38.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032536,2.0,18.8,115.8,18.1,24.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032537,3.0,26.1,142.7,32.7,46.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032539,1.0,30.1,155.0,24.8,10.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032540,3.0,25.0,115.8,25.7,37.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032541,2.0,25.4,166.0,32.4,31.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032542,3.0,22.1,80.8,35.7,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032543,3.0,25.5,174.0,28.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032544,4.0,24.2,94.6,25.1,46.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032545,3.0,26.7,101.3,15.1,32.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032546,2.0,22.4,119.2,44.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032549,3.0,26.5,105.7,24.3,20.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032550,3.0,25.3,188.7,28.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032551,3.0,27.6,147.5,30.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032553,4.0,24.1,110.3,18.2,7.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032556,3.0,27.0,110.6,28.5,10.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032558,3.0,26.1,145.0,30.3,47.7,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
032559,3.0,13.6,102.0,19.6,27.8,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
