ccn,composite_process,care_index_overall,visits_last_days,pain_screening,treatment_preferences,beliefs_values,source,source_date
011682,100,9,48.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011684,100,8,73.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011685,77.8,9,40,100,100,98.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011686,91.2,9,75.2,94.7,100,97.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
021500,99.7,10,70.3,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
021506,100,9,68.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
021507,97.7,7,24.7,99.4,99.4,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
021508,98.9,9,47.7,100,100,98.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
021509,100,9,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
021510,35.7,9,,97.6,85.7,81,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031500,97.7,10,52.3,99.5,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031501,100,9,85.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031502,97.7,10,84.7,99.7,100,98.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031505,98.2,10,52.9,99.5,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031508,100,10,73.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031512,,9,80.3,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031514,89.9,10,58.9,98.8,100,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031515,97.8,10,51.1,99.7,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031517,98.1,10,53.7,99.4,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031519,96.1,10,60.3,98.7,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031521,100,10,90.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031522,97.4,9,55.8,99.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031523,100,10,79.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031529,99,10,83.3,99.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031537,93.8,10,74,98.1,100,98.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031543,82.1,10,76.3,97.5,100,95.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031547,99.3,10,75.1,100,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031550,100,10,86.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031551,74.1,9,88.4,88.9,100,92.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031552,100,10,64.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031555,100,10,84,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031556,98.5,10,55.4,99.7,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031559,97.3,9,61,97.3,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031560,99.5,10,72.3,100,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031562,95.2,9,59.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031563,89.4,9,78.2,95,97.5,97.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031565,98.7,10,88.6,99.6,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031573,100,9,86.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031577,98.7,9,51.4,99.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031578,100,9,74.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031579,98.8,10,40,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031581,100,10,88.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031582,,8,78.9,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031583,,8,85.7,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031584,70.8,9,56.8,98.5,100,96.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031586,99.2,8,63.4,99.2,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031588,94.7,10,56.5,96.6,99.7,98.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031591,90.7,10,72,100,100,97.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031592,97.8,10,72.3,99.8,99.9,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031593,86.7,9,75.4,98.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031594,98.4,7,30.9,98.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031595,97.4,10,43.3,99.3,98.7,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031598,83.6,9,77.9,93.4,100,98.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031599,89.7,10,90.9,97.5,96.7,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031600,95.7,10,90.3,100,100,98.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031601,100,10,61.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031602,99.1,10,61.7,100,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031605,100,10,86.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031606,100,10,65.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031607,91.5,10,70.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031609,76.9,8,47,93.6,100,85.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031610,77,8,38,100,100,98,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031611,96.1,7,44.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031613,97.7,10,60.5,99.7,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031614,99.4,10,60.8,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031616,47.6,9,69,85.7,85.7,52.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031622,82.4,10,74.5,99.6,99.6,88.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031623,99.6,10,75.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031624,98.9,10,58.2,100,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031625,98.4,10,68.8,99.7,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031626,,9,55,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031627,88.7,6,58.9,99.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031628,98.7,9,63.2,100,100,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031630,60.3,8,16.9,63.5,98.4,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031631,98,10,77.5,99.6,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031633,14.7,9,64.3,97.1,97.1,64.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031634,94.9,10,58.8,99,99.5,97.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031635,0,7,27.7,20,8.3,11.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031636,100,10,57.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031639,100,9,29.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031640,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031642,94.7,10,64.4,98.6,100,96.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031643,93.4,10,73,93.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031645,74.4,10,47,96.3,98.8,80.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031646,83.3,9,39.7,91.7,91.7,94.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031649,66.7,8,12,73.3,97.8,88.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031650,89.2,9,58.8,96.2,100,97.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031651,93.2,9,58.4,99.1,98.5,97.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031652,94.4,8,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031654,99.1,10,59.5,100,100,99.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031655,97.4,9,48.3,100,100,98.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031656,65.8,10,52.1,73.9,99.1,98.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031658,97.7,10,63.8,98.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031659,100,10,66.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031661,98.9,9,50,98.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031662,89.2,7,58.3,100,100,97.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031665,96.3,9,88.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031667,98.5,7,8.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031669,93.3,9,50.9,96.4,99.2,98.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031670,,10,43.7,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031671,88,10,95.5,99.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031672,92,8,43.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031673,89.2,10,33.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031674,80.5,8,71.2,96.5,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031675,59.7,10,52.5,93.8,98.4,65.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031676,,8,76.7,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031678,98.8,8,71.8,98.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
031679,59.3,10,33.3,100,100,98.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
