ccn,cahps_summary_star,cahps_recommend_pct,cahps_rating_9_10_pct,cahps_communication_pct,cahps_symptoms_pct,cahps_respect_pct,cahps_timely_pct,cahps_emotional_pct,source,source_date
011543,5.0,90.0,87.0,87.0,84.0,94.0,85.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011546,4.0,89.0,84.0,81.0,75.0,93.0,76.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011548,4.0,84.0,83.0,86.0,77.0,92.0,83.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011549,,78.0,77.0,84.0,75.0,92.0,80.0,86.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011558,,80.0,80.0,80.0,75.0,89.0,78.0,84.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011566,,93.0,90.0,90.0,86.0,96.0,85.0,98.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011567,,78.0,75.0,79.0,78.0,94.0,75.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011577,3.0,78.0,79.0,78.0,76.0,89.0,76.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011579,4.0,87.0,82.0,83.0,77.0,93.0,82.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011582,,84.0,91.0,90.0,74.0,94.0,84.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011583,,92.0,89.0,90.0,89.0,93.0,81.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011586,,89.0,86.0,85.0,86.0,95.0,86.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011591,5.0,90.0,90.0,88.0,83.0,94.0,85.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011592,5.0,95.0,92.0,91.0,86.0,97.0,88.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011597,5.0,95.0,89.0,88.0,86.0,94.0,92.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011598,,94.0,91.0,90.0,84.0,95.0,83.0,97.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011600,4.0,88.0,83.0,85.0,78.0,91.0,80.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011602,,78.0,78.0,84.0,68.0,90.0,75.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011603,5.0,93.0,92.0,90.0,87.0,96.0,91.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011604,,88.0,85.0,89.0,72.0,95.0,83.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011605,4.0,88.0,84.0,86.0,78.0,91.0,79.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011607,4.0,82.0,81.0,85.0,80.0,91.0,80.0,84.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011612,5.0,91.0,91.0,85.0,87.0,93.0,84.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011617,,82.0,76.0,77.0,89.0,91.0,86.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011621,5.0,91.0,87.0,88.0,82.0,96.0,86.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011622,4.0,85.0,82.0,82.0,78.0,90.0,80.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011623,4.0,83.0,83.0,85.0,84.0,89.0,84.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011624,3.0,77.0,74.0,80.0,74.0,90.0,74.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011626,4.0,80.0,80.0,77.0,77.0,89.0,82.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011628,,87.0,90.0,89.0,86.0,94.0,94.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011629,,79.0,72.0,82.0,77.0,90.0,77.0,86.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011632,,89.0,91.0,89.0,85.0,95.0,83.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011634,5.0,94.0,92.0,92.0,86.0,97.0,90.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011635,,84.0,78.0,88.0,79.0,93.0,93.0,85.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011638,4.0,90.0,88.0,87.0,77.0,93.0,83.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011642,4.0,83.0,78.0,84.0,78.0,91.0,81.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011643,4.0,87.0,84.0,87.0,79.0,93.0,83.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011654,4.0,87.0,85.0,85.0,78.0,94.0,87.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011655,4.0,89.0,86.0,86.0,81.0,94.0,83.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011657,,85.0,86.0,86.0,82.0,94.0,82.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011660,,92.0,87.0,88.0,79.0,93.0,84.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011661,,93.0,92.0,92.0,84.0,96.0,86.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011662,,80.0,84.0,82.0,74.0,91.0,80.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011663,5.0,91.0,87.0,87.0,85.0,96.0,88.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011664,2.0,76.0,72.0,74.0,72.0,84.0,70.0,83.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011669,,83.0,85.0,84.0,83.0,90.0,83.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011670,,96.0,94.0,90.0,90.0,95.0,90.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011673,,90.0,84.0,87.0,74.0,89.0,89.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011674,4.0,88.0,86.0,86.0,81.0,94.0,82.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011675,3.0,83.0,83.0,85.0,74.0,92.0,78.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011676,3.0,82.0,83.0,81.0,77.0,89.0,79.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011678,4.0,88.0,88.0,86.0,76.0,92.0,83.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011682,,81.0,81.0,79.0,82.0,83.0,81.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011684,4.0,87.0,87.0,85.0,81.0,93.0,81.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011686,4.0,87.0,82.0,85.0,81.0,92.0,83.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
021500,4.0,87.0,85.0,81.0,72.0,92.0,76.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
021506,4.0,93.0,88.0,85.0,81.0,94.0,79.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
021507,4.0,89.0,82.0,83.0,75.0,93.0,79.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031500,4.0,92.0,88.0,84.0,78.0,94.0,82.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031501,,91.0,88.0,86.0,73.0,92.0,78.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031502,4.0,87.0,87.0,85.0,79.0,95.0,80.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031505,4.0,92.0,88.0,86.0,79.0,94.0,83.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031508,4.0,93.0,88.0,87.0,81.0,95.0,80.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031514,4.0,92.0,89.0,83.0,80.0,93.0,84.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031515,4.0,91.0,87.0,85.0,77.0,93.0,83.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031517,4.0,92.0,89.0,85.0,77.0,95.0,84.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031519,4.0,82.0,81.0,82.0,76.0,93.0,79.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031521,5.0,90.0,86.0,85.0,76.0,95.0,83.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031522,,83.0,86.0,85.0,78.0,96.0,83.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031523,,83.0,80.0,77.0,82.0,90.0,70.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031529,4.0,90.0,85.0,87.0,75.0,91.0,77.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031537,2.0,80.0,79.0,80.0,73.0,91.0,72.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031543,4.0,92.0,91.0,89.0,87.0,93.0,80.0,97.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031547,4.0,87.0,82.0,81.0,73.0,91.0,74.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031550,3.0,85.0,78.0,79.0,72.0,88.0,81.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031551,,99.0,91.0,93.0,85.0,96.0,88.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031552,4.0,91.0,89.0,86.0,81.0,93.0,82.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031555,,88.0,84.0,78.0,73.0,88.0,76.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031556,4.0,85.0,83.0,82.0,73.0,91.0,76.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031559,,86.0,82.0,85.0,78.0,89.0,77.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031560,4.0,87.0,86.0,80.0,75.0,92.0,79.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031562,,86.0,83.0,80.0,71.0,90.0,84.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031563,,91.0,90.0,90.0,81.0,95.0,85.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031565,4.0,83.0,85.0,84.0,78.0,91.0,82.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031573,3.0,79.0,81.0,73.0,71.0,89.0,65.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031577,3.0,86.0,82.0,82.0,77.0,93.0,73.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031581,4.0,85.0,81.0,82.0,74.0,91.0,78.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031584,,95.0,89.0,85.0,79.0,98.0,79.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031586,4.0,83.0,78.0,81.0,79.0,94.0,77.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031588,4.0,86.0,83.0,82.0,76.0,93.0,84.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031592,3.0,80.0,81.0,79.0,69.0,90.0,74.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031598,3.0,84.0,78.0,77.0,65.0,88.0,69.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031599,4.0,88.0,88.0,86.0,84.0,95.0,82.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031600,5.0,86.0,88.0,83.0,83.0,94.0,81.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031601,,81.0,79.0,85.0,86.0,94.0,84.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031602,3.0,82.0,81.0,80.0,73.0,89.0,74.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031605,4.0,78.0,78.0,78.0,75.0,91.0,80.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031607,,86.0,80.0,83.0,71.0,92.0,84.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031611,4.0,91.0,85.0,84.0,76.0,93.0,85.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031613,4.0,86.0,84.0,79.0,75.0,93.0,76.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031614,4.0,89.0,83.0,84.0,75.0,91.0,78.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031622,,94.0,92.0,88.0,80.0,94.0,90.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031623,3.0,84.0,78.0,77.0,70.0,93.0,69.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031624,,85.0,81.0,82.0,71.0,92.0,73.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031625,4.0,91.0,86.0,83.0,80.0,93.0,82.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031630,,84.0,87.0,87.0,79.0,96.0,84.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031631,4.0,83.0,81.0,81.0,82.0,93.0,85.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031634,,79.0,82.0,80.0,63.0,96.0,71.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031636,4.0,92.0,83.0,83.0,72.0,91.0,76.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031639,,92.0,86.0,88.0,88.0,96.0,79.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031642,3.0,82.0,82.0,78.0,73.0,91.0,76.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031645,,87.0,83.0,85.0,76.0,93.0,83.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031650,,67.0,65.0,73.0,58.0,83.0,59.0,72.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031651,3.0,78.0,72.0,78.0,68.0,88.0,71.0,85.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031654,4.0,86.0,83.0,84.0,76.0,93.0,84.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031656,,75.0,70.0,76.0,63.0,86.0,73.0,80.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031658,,73.0,70.0,82.0,76.0,88.0,69.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031659,,66.0,70.0,63.0,52.0,79.0,59.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031665,,89.0,92.0,83.0,72.0,95.0,85.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031669,,86.0,83.0,81.0,78.0,88.0,75.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031670,,72.0,74.0,76.0,64.0,88.0,79.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031671,,95.0,91.0,92.0,86.0,98.0,88.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031674,,85.0,78.0,86.0,81.0,95.0,84.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031680,,90.0,81.0,80.0,77.0,89.0,73.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031681,,89.0,87.0,83.0,85.0,93.0,85.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031682,,70.0,69.0,69.0,59.0,83.0,64.0,83.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031685,,93.0,86.0,86.0,77.0,92.0,81.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031689,,94.0,97.0,95.0,93.0,100.0,87.0,98.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031690,,87.0,78.0,81.0,81.0,88.0,78.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031692,1.0,74.0,71.0,73.0,71.0,87.0,68.0,86.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031694,,72.0,78.0,77.0,76.0,86.0,75.0,84.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031695,,74.0,81.0,74.0,72.0,88.0,72.0,86.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031696,,88.0,86.0,86.0,73.0,91.0,79.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031699,2.0,77.0,78.0,77.0,71.0,88.0,76.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031702,4.0,90.0,86.0,84.0,76.0,93.0,79.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031705,3.0,82.0,85.0,81.0,73.0,94.0,72.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031706,,84.0,74.0,79.0,60.0,93.0,71.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031709,4.0,86.0,84.0,83.0,75.0,93.0,80.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031710,3.0,85.0,81.0,78.0,73.0,92.0,75.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031713,,73.0,81.0,72.0,72.0,90.0,77.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031717,,84.0,81.0,75.0,76.0,88.0,75.0,80.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031721,,74.0,80.0,75.0,63.0,86.0,74.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031723,,81.0,75.0,78.0,72.0,92.0,72.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031724,4.0,90.0,87.0,79.0,73.0,92.0,76.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031727,,91.0,84.0,81.0,76.0,92.0,71.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031733,,87.0,80.0,79.0,90.0,91.0,76.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031742,4.0,87.0,84.0,84.0,78.0,94.0,82.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031758,,79.0,82.0,75.0,72.0,87.0,73.0,86.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031765,,74.0,75.0,75.0,77.0,87.0,75.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031775,2.0,76.0,69.0,70.0,58.0,87.0,69.0,86.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
031781,,92.0,88.0,84.0,74.0,96.0,79.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041500,4.0,92.0,91.0,84.0,79.0,94.0,82.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041501,5.0,96.0,92.0,88.0,81.0,96.0,86.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041503,,96.0,95.0,92.0,88.0,98.0,90.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041504,3.0,81.0,78.0,75.0,70.0,87.0,77.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041507,,93.0,93.0,87.0,81.0,95.0,85.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041510,,88.0,83.0,82.0,78.0,88.0,84.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041511,4.0,87.0,84.0,84.0,78.0,90.0,81.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041512,4.0,92.0,88.0,87.0,80.0,94.0,87.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041518,5.0,93.0,91.0,88.0,83.0,95.0,89.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041519,,87.0,84.0,84.0,88.0,93.0,90.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041520,3.0,82.0,79.0,79.0,75.0,90.0,76.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041521,2.0,76.0,67.0,75.0,73.0,85.0,76.0,85.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041522,4.0,92.0,87.0,85.0,79.0,94.0,81.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041523,4.0,91.0,84.0,85.0,82.0,92.0,86.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041524,3.0,83.0,80.0,82.0,75.0,90.0,79.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041525,,71.0,68.0,74.0,68.0,84.0,74.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041528,4.0,88.0,88.0,85.0,80.0,93.0,80.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041529,5.0,94.0,89.0,84.0,80.0,94.0,84.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041531,,80.0,81.0,88.0,75.0,98.0,85.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041532,,71.0,77.0,76.0,66.0,87.0,63.0,85.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041534,4.0,91.0,86.0,88.0,79.0,93.0,88.0,91.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
041535,,94.0,88.0,90.0,92.0,92.0,91.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
