ccn,star_rating,timely_initiation_pct,improve_ambulation_pct,improve_bed_transfer_pct,improve_bathing_pct,discharge_to_community_rate,source,source_date
017096,3,94.24,90.72,87.36,88.32,85.76,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017097,3.5,100,88.43,88.56,91.58,80.35,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017100,3.5,97.7,92.9,89.52,90.98,93.08,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017103,2.5,90.24,60.7,51.41,77.64,38.05,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017104,3.5,98.88,88.81,86.22,87.37,79.93,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017106,3,93.82,90.77,87.65,92.69,80.4,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017107,3,99.04,84.41,86.77,88.05,81.34,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017109,2,100,74.4,72.95,71.72,90.84,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017112,2.5,100,79.33,79.14,74.18,86.04,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017115,3.5,100,90.27,88.15,90.83,86.88,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017116,2.5,97.34,84.13,83.31,83.39,77.02,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017117,2.5,98.02,84.74,87.63,85.08,85.88,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017118,4,99.73,92.6,93.62,93.53,88.24,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017119,3,99.6,86.9,87.78,89.17,86.28,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017121,4,99.83,92.49,91.84,94.57,91.62,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017123,4,98.5,96.14,90.97,94.58,88.48,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017124,2.5,92.18,79.74,85.17,84.78,86.18,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017125,3.5,99.41,89.17,89.16,89.05,83.16,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017128,4,98.59,93.33,92.82,92.98,85.98,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017129,3.5,97.36,91.47,90.28,86.6,91.2,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017132,4,97.27,92.76,91.6,93.71,86.69,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017134,3.5,99.4,90.99,91.84,93.19,91.12,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017135,3.5,99,87.52,92.08,91.91,76.2,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017136,1,68.15,50.96,49.13,56.37,65.89,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017138,,,,,,,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017142,4,98.3,94.09,92.82,92.13,83.12,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017143,4,99.71,94.17,94.56,93.32,87.74,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017145,4.5,100,94.5,94.06,96.26,85.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017146,3.5,100,86.42,100,85.42,83.3,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017147,3.5,99.51,82.1,93.33,84.97,89.45,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017148,4.5,99.44,93.46,92.16,94.21,89.26,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017149,4,99.96,91.45,92.02,93.05,83.59,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017151,4.5,100,93.52,92.16,91.17,81.09,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017152,4.5,100,97.81,95.33,97.67,85.87,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017153,4.5,99.82,93.63,94.1,93.99,81.72,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017154,4,99.49,92,91.48,91.89,82.6,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017155,3.5,96.79,86.95,90.7,91.89,78.59,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017157,5,99.46,96.42,96.01,97.07,81.47,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017158,4.5,99.92,95.65,96.09,94.86,90.41,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017159,4,99.59,94.27,94.58,93.78,84.54,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017160,4,97.94,94.43,93.85,93.75,94.91,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017161,5,100,99.55,96.7,96.17,84.93,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017163,4.5,99.65,93.92,93.43,96.51,79.33,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017164,4.5,100,94.65,95.94,93.12,86.45,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017165,4.5,100,92.45,93.91,93.01,84.18,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017166,4.5,100,98.22,96.89,96.96,83.81,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017167,4.5,100,97.35,96.29,94.7,71.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017168,4,100,94.39,89.49,91.65,76.9,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017170,4.5,100,94.85,93.97,94.11,79.65,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017171,5,100,98.97,97.29,100,80.1,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017175,4,97.22,91.29,96.44,96.47,78.76,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017176,4.5,99.84,94.96,94.01,95.16,81.84,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017177,4.5,100,97.48,100,95.56,69.81,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017178,4,99.83,93.54,93.82,92.89,86.75,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017179,2.5,96.14,86.9,86.72,85.21,80.04,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017180,3,98.04,85.36,85.23,86.76,85.99,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017182,3.5,99.55,91.18,92.02,92,78.9,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017300,4.5,99.92,94.45,95.02,94.11,84.61,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017305,4,99.95,91.78,93.12,93.62,87.74,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017307,4,100,92.45,91.48,91.86,80.9,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017319,4.5,99.91,93.34,95.6,94.65,82.12,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017320,4.5,99.76,94.07,96.8,93.61,82,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017323,1.5,87.85,66.94,71.67,75.18,74.05,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017324,3.5,99.27,89.4,90.42,93.13,81.36,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017326,3.5,99.09,87.18,89.7,90.77,83.73,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017327,4.5,99.89,93.56,96.89,94.43,83.37,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017328,4.5,100,92.11,92.62,95.14,83.5,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017831,,,,,,,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017878,4.5,100,94.12,93.59,93.52,84.89,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017879,3.5,100,86.06,85.88,90.01,81.27,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017880,4,96.67,90.5,96.43,91.89,71.05,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017881,5,99.5,96.74,94.36,100,90.07,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047001,4,89.48,91.4,92.92,95.72,73.95,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047004,3.5,100,84.35,90.88,94.25,84.65,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047006,3.5,88,92.03,92.64,94.63,75.45,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047009,3.5,96.49,92.8,91.65,94.65,89.52,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047010,4,99.43,91.51,90.46,92.49,82.71,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047011,4,99.91,86.86,91.4,92.43,94.86,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047016,3,97.32,84.38,90.02,90.12,86.93,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047020,4,98.87,90.47,90.47,93.3,88.8,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047021,3.5,97.9,89.42,89.38,91.48,94.1,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047024,3,99.81,85.66,86.19,89.03,90.22,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047025,3.5,92.27,89.76,92.02,95.3,87.94,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047028,3.5,96.65,91.4,90.68,93.91,89.51,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047029,3,96.92,88.75,87.35,89.68,82.9,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047030,,,,,,,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047031,1.5,93.36,73.09,75.95,74.51,81.17,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047032,2.5,94.82,80.96,87.16,89.03,71.39,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047033,3,97.7,88.32,90.14,91.76,83.13,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047034,3,64.08,82.92,88.88,89.29,86.37,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047035,3.5,97.86,88.93,90.4,92.29,87.86,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047038,4,99.55,92.63,92.04,92.05,86.04,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047043,4,99.7,90.12,91.18,93.82,90.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047044,3,97.77,86.84,89.05,93.11,65.08,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047046,4,99.19,91.33,93.75,96.96,86.12,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047048,1,92.21,59.76,50.34,49.64,44.91,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047052,3.5,98.65,90.22,90.68,95.46,89.25,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047056,4.5,99.71,95.07,95.65,98.68,83.83,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047057,4,98.91,90.79,92.28,95.35,80.19,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047080,4,99.92,91.55,94.23,93.04,82.6,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047081,2,99,72.38,75.76,69.47,73.95,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047082,2.5,90.31,83.32,81.31,85.04,66.03,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047083,4,99.07,92.68,93.21,96.86,86.67,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047087,3,99.38,82.26,86.17,85.08,89.82,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047090,2.5,90.59,81.54,82.55,86.55,92,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047093,4.5,98.97,96.19,94.53,96.1,86.12,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047096,2.5,75.78,89.88,86.52,93.82,68.82,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047097,3,94.8,86.61,88.27,90.15,88.22,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047099,4.5,96.46,97.16,93.33,96.63,79.06,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047102,2.5,100,73.22,77.51,78.63,85.66,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047104,3.5,100,81.8,91.86,86.48,79.99,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047105,4,99.47,91.33,93.38,91.18,81.47,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047108,4.5,99.86,92.54,95.78,95.84,84.53,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047109,4,100,90.98,91.55,95.17,87.33,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047114,4.5,99.38,96.54,96.32,100,83.15,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047115,3.5,98.56,87.7,88.94,91.94,90.68,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047116,2.5,94.84,70.96,86.39,79.43,56.03,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047117,2.5,99.72,86.15,78.09,83.54,79.97,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047118,4.5,99.02,93.46,97.48,97.66,74.74,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047122,3.5,99.05,91.01,87.49,90.81,93.52,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047127,3,93.54,85.35,71.64,90.6,81.57,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047128,3.5,97.76,90.94,90.62,91.4,88.02,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047133,3.5,99.1,90.16,90.06,94.93,88.96,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047134,3.5,96.39,90.53,90.16,93.39,92.32,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047135,3,97.37,84.1,92.96,91.51,39.9,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047138,4,97.48,93.35,93.65,95.87,86.89,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047139,3.5,90.89,93.5,94.2,90.48,90.81,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047140,3.5,99.42,90.26,91.55,95.17,80.91,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047145,3.5,98.77,90.48,89.47,93.15,87.95,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047147,3,96.95,84.56,87.22,90.02,55.18,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047148,2,96.5,78.38,77.53,79.1,77.92,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047149,2.5,96.25,84.67,87.56,89.68,92.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047151,3,97.29,87.68,87.38,91.25,88.58,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047153,3,97.77,80.44,80.14,92.73,80.36,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047156,2.5,76.42,85.76,91.86,91.59,81.98,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047162,3,75.76,91.38,94.65,87.33,79.81,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047167,1.5,94.91,72.68,76.05,72.45,82.64,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047168,3,99.67,84.51,85.67,89.44,76.96,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047169,4,98.81,89.8,92.72,91.46,87.05,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047170,3,93.59,85.57,86.77,91.43,80.3,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047172,3.5,92.29,88.85,86.61,88.73,82.69,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047173,3,99.7,88.86,89.54,90.91,72.27,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047174,3,100,88.36,87.14,89.11,70.99,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047175,1.5,76.47,71.03,70.34,77.73,76.71,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047176,,82.61,,,,92.45,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047178,3,99.62,84.92,87.43,88.58,75.43,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047179,3,99.72,85.35,87.56,91.63,73.4,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047180,,,,,,80.26,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047181,,,,,,,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047306,,100,,,,90.15,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047326,2,90.21,78.5,80.89,82.67,91.31,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
047338,3,96.53,86.84,90.49,86.8,87.17,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
