source_id,source_name,source_type,source_file,source_url,uploaded_or_public,geography,year,publisher,access_date,normalized_table,row_count,key_fields,product_surfaces_supported,missingness_notes,caveats,license_or_use_note
cms_ffs_provider_enrollment,CMS FFS Provider Enrollment (supply by state x type),provider_supply,provider_supply/provider_supply_state_type.csv,https://data.cms.gov,public,US (by state),2026,CMS,2026-05-25,provider_supply_state_type.csv;provider_supply_national_type.csv,10781,state;provider_type;enrolled_count,Market context (supply density);Diligence demand-supply framing,PII (NPI/names) dropped at ingest; FFS Medicare-enrolled only (not all providers),Medicare-enrolled provider SUPPLY by geography; not a quality measure; not provider-specific; primary-care figure is an approximation by provider-type keywords,CMS public-use file (redistributable)
cms_snf_chow,CMS SNF Change of Ownership (consolidation signal),consolidation,snf_chow/snf_chow_state_year.csv,https://data.cms.gov,public,US (by state),2016-2025,CMS,2026-05-25,snf_chow_state_year.csv;snf_chow_national_year.csv,406,state;year;chow_count,Market context (consolidation velocity);Deal-flow framing,enrollment/NPI identifiers dropped at ingest,Medicare-enrolled SNF ownership CHANGES by state x year; M&A/consolidation signal; NOT a PE-specific flag (buyer type unclassified); not every transaction; not provider-specific,CMS public-use file (redistributable)
cms_hospital_chow,CMS Hospital Change of Ownership (consolidation signal),consolidation,hospital_chow/hospital_chow_state_year.csv,https://data.cms.gov,public,US (by state),2016-2025,CMS,2026-05-25,hospital_chow_state_year.csv;hospital_chow_national_year.csv,238,state;year;chow_count,Market context (consolidation velocity);Deal-flow framing,enrollment/NPI identifiers dropped at ingest,Medicare-enrolled HOSPITAL ownership CHANGES by state x year; M&A/consolidation signal; NOT a PE-specific flag; not every transaction; not provider-specific,CMS public-use file (redistributable)
cms_open_payments_2023,CMS Open Payments (staged summary PGYR2023),industry_payments,open_payments/open_payments_top_entities.csv,https://openpaymentsdata.cms.gov,public,US (national),2023,CMS,2026-05-25,open_payments_top_entities.csv,100,AMGPO_Name;total_amount;transactions,Specialist industry page;Provider/partner financial-relationship context,nature-of-payment labels + recipient/specialty detail deferred (large detail file),Industry->physician payments SCALE ($3.31bn 2023); manufacturer side only here (no recipient PII); NOT provider-specific; NOT a wrongdoing flag (disclosure is lawful),CMS public-use file (redistributable)
cms_snf_all_owners,CMS SNF All Owners (ownership-complexity aggregate),ownership,snf_ownership/snf_ownership_summary.json,https://data.cms.gov,public,US (national),2026,CMS,2026-05-25,snf_ownership_summary.json,1,facilities;avg_owners_per_facility;pct_with_indirect_ownership,Nursing-home vertical context;Regulatory/ownership diligence,owner names/identifiers dropped at ingest (national aggregate only; per-facility state-keying deferred),Nursing-home ownership-COMPLEXITY (owners/facility median 15; 88.7% org; 51% indirect); NOT a PE flag (CMS does not label PE); not provider-specific,CMS public-use file (redistributable)
cdc_places_equity,CDC PLACES health-equity / SDOH (state-level prevalence),health_equity,cdc_places/places_equity_state.csv,https://data.cdc.gov/d/i46a-9kgh,public,"US (by state, from county model estimates)",2025,CDC,2026-05-25,places_equity_state.csv;places_equity_summary.json,51,state;measure prevalence,Health-equity / SDOH benchmark;Market population context,county model estimates (BRFSS+ACS) population-weighted to state; some sparse-county measures blank,Model-based FULL-POPULATION estimates (not this deal patients); crude prevalence; not payer-mix; not a clinical outcome,CDC public-use file (redistributable)
cms_hcahps_state,CMS HCAHPS patient-experience (state top-box),patient_experience,hcahps/hcahps_state.csv,https://data.cms.gov/provider-data/dataset/84jm-wiui,public,US (by state),2024,CMS Care Compare,2026-05-25,hcahps_state.csv;hcahps_summary.json,52,state;HCAHPS top-box measures,Patient-experience benchmark;Quality/CX framing,state-level published top-box %; some small-state measures may be footnoted,Official CMS HCAHPS survey top-box percentages by state; NOT this deal facilities; national = simple state mean (not volume-weighted),CMS public-use file (redistributable)
chr_county_demographics,County demographics (Census/ACS via County Health Rankings),demographics,county_demographics/county_demographics.csv,https://www.countyhealthrankings.org,public,US (county + state),2024,County Health Rankings & Roadmaps (UW Pop Health Inst.) / U.S. Census Bureau,2026-05-25,county_demographics.csv;demographics_state.csv;demographics_summary.json,3143,county_fips;state;population;rates(fractions),Market-intel demographic context;Target Screener context,rates stored as fractions 0-1; ACS survey estimates; some small-county measures blank (missingness preserved),Census ACS demographics delivered via keyless CHR file (direct Census API needs a key); area-level estimates NOT provider-specific NOT this deal patients,CHR freely redistributable with attribution; underlying Census public domain
cms_partd_drug_spending,CMS Medicare Part D Spending by Drug,drug_pricing,partd_drug/partd_drug_summary.json,https://data.cms.gov/summary-statistics-on-use-and-payments/medicare-medicaid-spending-by-drug,public,US (national),2023,CMS,2026-05-25,partd_drug_summary.json;partd_drug_top_spend.csv;partd_drug_top_inflation.csv,3598,brand;generic;spend;price_per_unit;price_cagr,Drug-cost / price-inflation context (340B/drug-pricing),spend/price per drug; outliers flagged; manufacturer-Overall rows only,Real Medicare Part D RETAIL drug spend + per-unit price CAGR; NOT 340B ceiling prices; NOT this deal formulary,CMS public-use file (redistributable)
clinicaltrials_gov,ClinicalTrials.gov trial landscape (US NLM),clinical_trials,clinical_trials/clinical_trials_summary.json,https://clinicaltrials.gov/api/v2,public,US/global registry,2026,U.S. National Library of Medicine,2026-05-25,clinical_trials_summary.json,1,total;recruiting;interventional;phase counts,Trial-site demand / phase-mix context,aggregate counts only; registry coverage not 100% of all trials,Real registry trial counts; NOT this deal sites/revenue; counts not a financial figure,Public domain (US NLM)
oig_leie,HHS OIG List of Excluded Individuals/Entities (LEIE),fraud_exclusions,oig_leie/oig_leie_summary.json,https://oig.hhs.gov/exclusions/,public,US (by state),2026,HHS Office of Inspector General,2026-05-25,oig_leie_summary.json,83256,state;exclusion type;year;specialty (counts),Fraud/abuse exclusion signal,PII (names/NPI/DOB/address) dropped at ingest; counts only,Realized OIG exclusions (fraud/abuse/sanction); NOT this deal providers; NOT a prediction,OIG public-use file (redistributable)
