variable_id,geo_level,geo_name,fips,state,county,year,value,unit,percentile_national,percentile_state,source_file,source_note
age_65_plus_pct,state,Nebraska,31,,,2025,0.168204,pct,21.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Nevada,32,,,2025,0.171124,pct,36.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,New Hampshire,33,,,2025,0.203846,pct,86.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,New Jersey,34,,,2025,0.171816,pct,40.4,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,New Mexico,35,,,2025,0.195768,pct,80.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,New York,36,,,2025,0.179644,pct,55.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,North Carolina,37,,,2025,0.173136,pct,42.3,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,North Dakota,38,,,2025,0.166964,pct,17.3,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Ohio,39,,,2025,0.183914,pct,63.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Oklahoma,40,,,2025,0.163361,pct,15.4,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Oregon,41,,,2025,0.193163,pct,76.9,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Pennsylvania,42,,,2025,0.195925,pct,82.7,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Puerto Rico,72,,,2025,0.242823,pct,100.0,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Rhode Island,44,,,2025,0.188642,pct,69.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,South Carolina,45,,,2025,0.190242,pct,73.1,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,South Dakota,46,,,2025,0.18139,pct,59.6,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Tennessee,47,,,2025,0.170945,pct,34.6,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Texas,48,,,2025,0.135379,pct,5.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Utah,49,,,2025,0.119342,pct,1.9,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Vermont,50,,,2025,0.216962,pct,96.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Virginia,51,,,2025,0.168458,pct,25.0,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Washington,53,,,2025,0.167987,pct,19.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,West Virginia,54,,,2025,0.211912,pct,92.3,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Wisconsin,55,,,2025,0.187624,pct,65.4,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Wyoming,56,,,2025,0.190032,pct,71.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
